구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,sales_type,age,year
Mercedes-Benz - E 450 4MATIC Coupe,4,1,3,8,0,0,0,0,0,0,0,0,16,개인,30~39,2020
Mercedes-Benz - EQC 400 4MATIC,0,0,6,7,0,0,0,0,0,0,0,0,13,개인,30~39,2020
Mercedes-Benz - G 400 d,0,0,0,9,0,0,0,0,0,0,0,0,9,개인,30~39,2020
Mercedes-Benz - GLA 220,0,22,26,23,0,0,0,0,0,0,0,0,71,개인,30~39,2020
Mercedes-Benz - GLA 250 4MATIC,18,5,8,8,0,0,0,0,0,0,0,0,39,개인,30~39,2020
Mercedes-Benz - GLB 200 d,15,2,0,0,0,0,0,0,0,0,0,0,17,개인,30~39,2020
Mercedes-Benz - GLB 220,30,135,29,12,0,0,0,0,0,0,0,0,206,개인,30~39,2020
Mercedes-Benz - GLB 250 4MATIC,51,115,121,90,0,0,0,0,0,0,0,0,377,개인,30~39,2020
Mercedes-Benz - GLC 220 d 4MATIC,0,0,46,32,0,0,0,0,0,0,0,0,78,개인,30~39,2020
Mercedes-Benz - GLC 220 d 4MATIC Coupe,1,0,52,44,0,0,0,0,0,0,0,0,97,개인,30~39,2020
Mercedes-Benz - GLC 300 4MATIC,0,0,7,0,0,0,0,0,0,0,0,0,7,개인,30~39,2020
Mercedes-Benz - GLC 300 4MATIC Coupe,0,3,26,17,0,0,0,0,0,0,0,0,46,개인,30~39,2020
Mercedes-Benz - GLC 300 e 4MATIC,28,22,33,17,0,0,0,0,0,0,0,0,100,개인,30~39,2020
Mercedes-Benz - GLC 300 e 4MATIC Coupe,39,24,41,16,0,0,0,0,0,0,0,0,120,개인,30~39,2020
Mercedes-Benz - GLE 300 d 4MATIC,1,2,12,20,0,0,0,0,0,0,0,0,35,개인,30~39,2020
Mercedes-Benz - GLE 400 d 4MATIC Coupe,1,84,30,15,0,0,0,0,0,0,0,0,130,개인,30~39,2020
Mercedes-Benz - GLE 450 4MATIC,0,0,0,71,0,0,0,0,0,0,0,0,71,개인,30~39,2020
Mercedes-Benz - GLS 400 d 4MATIC,11,6,3,4,0,0,0,0,0,0,0,0,24,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG A 35 4MATIC,3,4,1,4,0,0,0,0,0,0,0,0,12,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG A 45 4MATIC,4,3,8,5,0,0,0,0,0,0,0,0,20,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG C 43 4MATIC,1,0,0,0,0,0,0,0,0,0,0,0,1,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG C 63 S Coupe,0,0,1,1,0,0,0,0,0,0,0,0,2,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG CLS 53 4MATIC +,1,0,14,3,0,0,0,0,0,0,0,0,18,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG E 53 4MATIC +,0,0,5,5,0,0,0,0,0,0,0,0,10,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG E 53 4MATIC + Coupe,0,0,3,3,0,0,0,0,0,0,0,0,6,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG G 63,9,12,6,3,0,0,0,0,0,0,0,0,30,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG GLB 35 4MATIC,0,13,20,13,0,0,0,0,0,0,0,0,46,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG GLC 43 4MATIC,0,1,0,1,0,0,0,0,0,0,0,0,2,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG GLC 43 4MATIC Coupe,0,2,4,6,0,0,0,0,0,0,0,0,12,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG GLE 53 4MATIC +,0,0,0,4,0,0,0,0,0,0,0,0,4,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG GLE 53 4MATIC + Coupe,0,0,0,4,0,0,0,0,0,0,0,0,4,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG GT 43 4MATIC +,0,0,0,30,0,0,0,0,0,0,0,0,30,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG GT 63 S 4MATIC,0,0,1,0,0,0,0,0,0,0,0,0,1,개인,30~39,2020
Mercedes-Benz - Mercedes-AMG S 63 4MATIC + Coupe,0,0,2,1,0,0,0,0,0,0,0,0,3,개인,30~39,2020
Mercedes-Benz - S 350 d 4MATIC,2,0,0,0,0,0,0,0,0,0,0,0,2,개인,30~39,2020
Mercedes-Benz - S 400 d 4MATIC,0,0,0,1,0,0,0,0,0,0,0,0,1,개인,30~39,2020
Mercedes-Benz - S 450 4MATIC L,0,0,2,0,0,0,0,0,0,0,0,0,2,개인,30~39,2020
Mercedes-Benz - S 560 4MATIC L,0,0,1,0,0,0,0,0,0,0,0,0,1,개인,30~39,2020
Mercedes-Benz - S 560 e,1,0,0,0,0,0,0,0,0,0,0,0,1,개인,30~39,2020
Peugeot - 2008 1.5 BLUe-HDi,1,1,12,7,0,0,0,0,0,0,0,0,21,개인,30~39,2020
Peugeot - 3008 1.5 BLUe-HDi,6,1,7,7,0,0,0,0,0,0,0,0,21,개인,30~39,2020
Peugeot - 3008 GT 2.0 BLUe-HDi,0,1,0,1,0,0,0,0,0,0,0,0,2,개인,30~39,2020
Peugeot - 308 1.5 BLUe-HDi,0,1,1,0,0,0,0,0,0,0,0,0,2,개인,30~39,2020
Peugeot - 5008 1.5 BLUe-HDi,6,5,11,9,0,0,0,0,0,0,0,0,31,개인,30~39,2020
Peugeot - 5008 GT 2.0 BLUe-HDi,2,0,0,4,0,0,0,0,0,0,0,0,6,개인,30~39,2020
Peugeot - 508 1.5 BLUe-HDi,0,0,0,1,0,0,0,0,0,0,0,0,1,개인,30~39,2020
