index	keys	values
75	GM	"GM, 지엠, 지엠코리아"
76	Cadillac	"지엠캐딜락, 캐딜락, GM 캐딜락, 캐딜락코리아, 지엠코리아, GM코리아"
77	Cadillac	"지엠캐딜락, 캐딜락, GM 캐딜락, 캐딜락코리아, 지엠코리아, GM코리아"
78	Cadillac	"지엠캐딜락, 캐딜락, GM 캐딜락"
79	ESCALADE	"에스컬레이드, 캐딜락에스컬레이드, 캐딜락에스컬레이드롱바디, 에스컬레이드롱바디, ESCALADE, 캐딜락에스컬레이터, 에스컬레이드ESV, 캐딜락에스컬레이드리무진, 에스컬레이드리스, 캐딜락에스컬레이드ESV, 캐딜락에스컬레이드리스"
80	CT6	"캐딜락CT6, CT6"
81	XT5	"캐딜락XT5, XT5"
82	Cadillac	"지엠캐딜락에스컬레이드, 캐딜락에스컬레이드롱바디, 에스컬레이드롱바디, ESCALADE"
83	FIAT500X	"피아트500, 피아트500X, FIAT500X"
84	JEEP	"지프, JEEP"
85	RENEGADE	"JEEPRENEGADE16,RENEGADE16,래니게이트16,래니게이트16,지프레니게이트16,지프래니게이트16,레니게이드16,"
86	WRANGLER	"WRANGLERRUBICON20,WRANGLERRUBICON,랭글러루비콘,지프랭글러루비콘,루비콘"
87	COMPASS	"지프캠퍼스,지프켐퍼스"
88	RANGER_RAPTOR	"포드레인저랩터, 포드레인저, 포드F150랩터, 포드랩터, 포드F150"
89	MONDEO	"포드몬데오, 몬데오, MONDEO"
90	EXPLORER	"포드익스플로러, 포드익스플로러리스, EXPLORER, 포드익스플로러풀래티넘, 포드익스플로러23, 포드익스플로러프로모션, 포드익스플로러하이브리드, 익스플로러플래티넘"
91	KUGA	"포드쿠가, ford쿠가, 포드KUGA, KUGA"
92	FOCUS	"포드포커스, 포드focus, fordfocus"
93	MKZ	"MKZ, 링컨MKZ"
94	Ford	"포드, FORD"
95	PANAMERA	"포르쉐파나메라, 파나메라, 파나매라, 파나메라리스, 포르쉐파나메라GTS, 포르쉐파나메라하이브리드, 포르쉐파나메라터보, PANAMERA"
96	Porsche	"포르쉐, PORSCHE"
97	GOLF	"폭스바겐골프, 폭스바겐골프리스, 폭스바겐GOLF, 골프7세대, 폭스바겐골프7세대"
98	PASST	"파사트, 폭스바겐파사트, PASSAT, 뉴파사트, 파싸트, 파사트프리미엄"
99	PASST	"파사트GT, 폭스바겐파사트GT"
100	ARTEON	"VolkswagenArteon20TDI,아테온20,폭스바겐아테온20"
101	TOUAREG	"VolkswagenTouareg30TDI,투아레그30,투아렉30,폭스바겐투아레그30,폭스바겐투아렉30"
102	Nissan	"닛산, NISSAN"
103	ES300H	"이에스삼백,이에스삼백에이치,이에스삼백하이브리드,이에스300h,이에스300,es300"
104	Toyota	"도요타, TOYOTA"
105	GS450H	"렉서스GS450H, GS450H, 렉서스GS450, GS450"
106	GSF	"렉서스GSF, GSF"
107	LEXUS	렉서스SUV
108	LEXUS	"렉서스, LEXUS"
109	PRIOUS	"프리우스, 도요타프리우스, 토요타프리우스, 프리우스하이브리드, 프리우스E, 토요타PRIOUS"
110	PRIOUS	"프리우스C, 도요타프리우스C, 토요타프리우스C"
111	GR_SUPRA	"GR수프라, GRSUPRA"
112	CITROEN	"시트로앵, CITROEN"
113	DS7	"DS7크로스백, DS7"
114	Honda	"Honda,혼다"
115	BMW	"BMW,비엠더블유"
116	3Series	"3시리즈, 320i, 320d,330i,330e,3시리즈투어링,3SeriseTouring,328i"
117	6Series	"6Series,6시리즈,620d xDrive,630i xDrive,630d xDrive"
118	MINI_CONVERTIBLE	"MINICONVERTIBLE,미니컨버터블,미니컨버터블s,MINICONVERTIBLES"
119	COUNTRYMAN	"COUNTRYMAN,컨트리맨,컨트리맨SD,컨트리맨D,컨트리맨S,컨트리맨SE"
120	MINI	"쿠퍼,쿠퍼S,쿠퍼D,쿠퍼SD,쿠퍼SE"
121	CLUBMAN	"clubman,클럽맨,clubmans,클럽맨S,clubmanD,클럽맨D,"
122	JCW	"컨트리맨JCW,미니JCW,"
123	5Series	"5시리즈,5Series,520i,523D,523DXDRIVE,530I,530IXDRIVE,540IXDRIVE,M550IXDRIVE"
124	7Series	"730dxDrive,730LdxDrive,740dxDrive,740ixDrive,740LixDrive,M760LixDrive"
125	I8	"I8,아이팔,i8roadster,i8로드스터"
126	M5	m5
127	X1	"X1,xDrive18d,xDrive20i,bmwxDrive18d,bmwxDrive20i,bmwX1"
128	X3	"X3,xDrive20i,xDrive20d,xDrive30d,M40ixDrive,bmwX3,bmwxDrive20i,bmwxDrive20d,bmwxDrive30d,bmwM40ixDrive"
129	X5	"X5,xDrive30d,xDrive40d,xDrive40i,M50i,bmwX5,bmwxDrive30d,bmwxDrive40d,bmwxDrive40i,M50i"
130	X6	"X6,X6xDrive30d,X6xDrive40d,X6xDrive40i,X5M50i,bmwX6,bmwX6xDrive30d,bmwX6xDrive40d,bmwX6xDrive40i,BMWX5M50i"
131	X7	"X7,X7xDrive 40i,X7xDrive 40d,X7xDrive M50i,X7,bmwX7xDrive40i,bmwX7xDrive40d,bmwX7xDriveM50i"
132	BMW	BMWX드라이브
133	BMW	BMWX레인지
134	JEEP	"지프, JEEP"
135	Maserati	"마세라티, MASERATI"
136	GRAN_TURISMO	"GRANTURISMO,마세라티그란투리스모"
137	C4	"C4, 시트로앵C4, 칵투스, 시트로앵칵투스"
138	C5	"C5, 시트로앵C5, 시트로앵C5에어크로스"
139	GRAND_C4	"grandc4, SPACETOURER, 그랜드C4"
140	GRAND_C4	"grandc4, SPACETOURER, 그랜드C4"
141	RAV4	"ToyotaRAV4,라브포,라브4,도요타라브포,도요타라브4"
142	SIENNA	"ToyotaSiennaHybrid,시에나하이브리드,도요타시에나하이브리드"
