,brand_ad,brand,advertiser,keys,values
,Audi_아우디A7,Audi,아우디A7,A7,"A7, 아우디A7, 아우디A745TDI, 아우디RS7, 아우디735TFSI, AUDIA7"
,Audi_아우디A8,Audi,아우디A8,A8,"A8, 아우디A8, 아우디S8"
,Audi_아우디A4,Audi,아우디A4,A4,"아우디A4, AUDIA4 ,A4, 아우디뉴A4"
,Audi_아우디A4&A5*,Audi,아우디A4&A5*,A4,"아우디A4, AUDIA4 ,A4, 아우디뉴A4"
,Audi_아우디Q,Audi,아우디Q,Q2,"아우디Q2, AUDIQ2, Q2"
,Audi_아우디Q7,Audi,아우디Q7,Q7,"아우디Q7, AUDIQ7, Q7, 아우디Q7풀체인지, 아우디Q745TDI"
,Audi_아우디Q8,Audi,아우디Q8,Q8,"아우디Q8, AUDIQ8, Q8, 아우디Q8, 아우디SQ8, AUDISQ8, SQ8"
,Audi_아우디코리아,Audi,아우디코리아,Audi,"AUDI, 아우디"
,Audi_아우디코리아아우디,Audi,아우디코리아아우디,Audi,"AUDI, 아우디"
,Volkswagen_아우디폭스바겐,Volkswagen,아우디폭스바겐,Volkswagen,"Volkswagen, 폭스바겐, 아우디폭스바겐"
,Volkswagen_아우디폭스바겐티록,Volkswagen,아우디폭스바겐티록,T-ROC,"TROC,폭스바겐TROC"
,Volkswagen_아우디폭스바겐제타,Volkswagen,아우디폭스바겐제타,JETTA,"VolkswagenJetta1.4 TSI,제타1.4,폭스바겐제타1.4,폭스바겐제타,제타"
,Volkswagen_아우디폭스바겐티구안,Volkswagen,아우디폭스바겐티구안,TIGUAN,"VolkswagenTiguan2.0TDI,티구안2.0,폭스바겐티구안2.0"
,Audi_아우디폭스바겐코리아,Audi,아우디폭스바겐코리아,Audi,"AUDI, 아우디"
,에프씨에이코리아,,에프씨에이코리아,,
,Jaguar_재규어E-PACE,Jaguar,재규어E-PACE,E_PACE,"E-PACE, 재규어E페이스, 제규어E페이스, JAGUARE-PACE, E페이스"
,Jaguar_재규어F-PACE,Jaguar,재규어F-PACE,F_PACE,"F-PACE, 재규어F페이스, 재규어FPACE, F페이스, 재규어F페이스"
,Jaguar_재규어XE,Jaguar,재규어XE,XE,"재규어XE, 재규어XE20D, XE20D"
,Jaguar_재규어XF,Jaguar,재규어XF,XF,"재규어XF20D, 재규어XF, XF"
,Jaguar_재규어XJ,Jaguar,재규어XJ,XJ,"재규어XJ, 재규어XJL, 재규어XJ50, XJ"
,Land Rover_재규어랜드로버레인지로버,Land Rover,재규어랜드로버레인지로버,Land Rover,"LANDROVER, RANGEROVER, 랜드로버, 랜드로바, 렌드로버, 레인지로버, 랜드로버레인지로버, 재규어랜드로버"
,Land Rover_재규어랜드로버레인지로버벨라,Land Rover,재규어랜드로버레인지로버벨라,VELAR,"LANDROVER VELAR, 랜드로버 벨라, 레인지로버벨라"
,Land Rover_재규어랜드로버레인지로버스포츠,Land Rover,재규어랜드로버레인지로버스포츠,SPORT,"LANDROVER SPORTS, RANGEROVER SPORTS, 랜드로버스포츠, 레인지로버 스포츠, 랜드로버레인지로버스포츠, 랜지로버스포츠, 레인지로버스포츠SVR"
,Land Rover_재규어랜드로버레인지로버이보크,Land Rover,재규어랜드로버레인지로버이보크,EVOQUE,"랜드로버이보크, 레인지로버이보크, 레인지로버이보크컨버터블, 이보크, 랜드로버이보크컨버터블"
,Land Rover_재규어랜드로버레인지로버이보크컨버터블,Land Rover,재규어랜드로버레인지로버이보크컨버터블,EVOQUE,"랜드로버이보크컨버터블, 레인지로버이보크, 레인지로버이보크컨버터블, 랜드로버이보크, 이보크"
,Land Rover_재규어랜드로버디펜더,Land Rover,재규어랜드로버디펜더,DEFENDER,"랜드로바 디펜더,랜드로버디펜더,디펜더,디펜더 랜드로버,디펜더 랜드로바"
,Land Rover_재규어랜드로버디스커버리,Land Rover,재규어랜드로버디스커버리,DISCOVERY,"랜드로버디스커버리,2018 랜드로버디스커버리,디스커버리 SD4,랜드로바디스커버리,랜드로버디스커버리4"
,Land Rover_재규어랜드로버디스커버리스포츠,Land Rover,재규어랜드로버디스커버리스포츠,DISCOVERY,"랜드로버디스커버리,2018 랜드로버디스커버리,디스커버리 SD4,랜드로바디스커버리,랜드로버디스커버리4"
,Land Rover_재규어랜드로버코리아,Land Rover,재규어랜드로버코리아,Land Rover,"LANDROVER, RANGEROVER, 랜드로버, 랜드로바, 렌드로버, 레인지로버, 랜드로버레인지로버, 재규어랜드로버"
,Cadillac_지엠캐딜락XT6,Cadillac,지엠캐딜락XT6,XT6,"지엠캐딜락, 캐딜락, GM 캐딜락, 캐딜락XT6"
,지엠아시아퍼시픽지역본부,,지엠아시아퍼시픽지역본부,,
,Cadillac_지엠캐딜락CT6,Cadillac,지엠캐딜락CT6,CT6,"캐딜락CT6, CT6"
,Cadillac_지엠캐딜락XT5,Cadillac,지엠캐딜락XT5,Cadillac,"지엠캐딜락, 캐딜락, GM 캐딜락, CADILAC"
,GM_지엠코리아,GM,지엠코리아,GM,"GM, 지엠, 지엠코리아"
