구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age,year
Jaguar,5,10,35,5,12,29,11,7,10,3,6,19,152,서울,개인,30~39,2016
Land Rover,22,25,48,21,23,51,28,38,54,42,41,51,444,서울,개인,30~39,2016
Lexus,45,43,65,50,40,62,40,51,58,41,57,73,625,서울,개인,30~39,2016
MINI,46,47,55,57,100,78,71,66,76,56,67,120,839,서울,개인,30~39,2016
Mercedes-Benz,349,295,359,290,276,358,291,282,279,256,318,196,"3,549",서울,개인,30~39,2016
Nissan,41,31,39,40,38,32,36,26,37,25,26,22,393,서울,개인,30~39,2016
Peugeot,6,19,14,21,8,13,12,26,15,8,11,13,166,서울,개인,30~39,2016
Porsche,15,12,17,17,22,12,12,4,12,4,10,17,154,서울,개인,30~39,2016
Toyota,71,65,72,66,68,66,71,123,76,63,90,76,907,서울,개인,30~39,2016
Volvo,31,37,43,39,48,51,44,56,47,43,44,11,494,서울,개인,30~39,2016
Audi,21,10,4,0,0,0,0,0,0,0,1,0,36,서울,개인,40~49,2016
BMW,71,126,267,275,197,181,93,118,171,170,271,316,"2,256",서울,개인,40~49,2016
Bentley,0,0,0,0,3,0,0,0,0,2,1,1,7,서울,개인,40~49,2016
Cadillac,2,7,1,7,8,5,2,2,3,1,7,11,56,서울,개인,40~49,2016
Chrysler,11,21,31,25,21,29,11,17,19,20,27,14,246,서울,개인,40~49,2016
Citroen,11,6,6,3,11,4,4,5,8,3,1,5,67,서울,개인,40~49,2016
Fiat,3,13,27,9,2,1,0,0,0,0,0,0,55,서울,개인,40~49,2016
Ford,48,29,35,30,51,56,46,46,48,31,26,40,486,서울,개인,40~49,2016
Honda,51,29,25,64,85,119,64,29,43,62,68,35,674,서울,개인,40~49,2016
Infiniti,7,6,11,27,15,17,19,16,19,17,17,23,194,서울,개인,40~49,2016
Jaguar,4,5,35,3,3,15,7,4,13,1,3,20,113,서울,개인,40~49,2016
Lamborghini,0,1,0,0,0,0,0,0,0,0,0,0,1,서울,개인,40~49,2016
Land Rover,20,27,58,24,27,38,27,37,45,42,40,60,445,서울,개인,40~49,2016
Lexus,45,57,65,69,56,91,57,74,65,56,59,75,769,서울,개인,40~49,2016
MINI,24,29,30,31,40,31,40,33,45,24,23,55,405,서울,개인,40~49,2016
Mercedes-Benz,320,231,311,241,210,349,220,212,224,163,244,136,"2,861",서울,개인,40~49,2016
Nissan,24,20,32,24,27,21,33,29,28,16,16,25,295,서울,개인,40~49,2016
Peugeot,3,14,14,17,13,11,15,9,13,8,11,14,142,서울,개인,40~49,2016
Porsche,10,7,13,8,16,6,4,7,11,6,5,18,111,서울,개인,40~49,2016
Toyota,62,49,63,47,62,56,68,94,51,69,107,60,788,서울,개인,40~49,2016
Volvo,29,39,44,35,49,43,36,37,20,31,37,11,411,서울,개인,40~49,2016
Audi,9,5,0,0,0,0,0,0,0,0,0,0,14,서울,개인,50~59,2016
BMW,49,67,106,113,84,78,43,72,74,70,94,152,"1,002",서울,개인,50~59,2016
Bentley,0,0,0,0,1,0,1,0,0,0,1,1,4,서울,개인,50~59,2016
Cadillac,2,3,2,1,5,5,1,1,5,1,3,4,33,서울,개인,50~59,2016
Chrysler,16,17,9,9,19,18,19,12,23,11,12,19,184,서울,개인,50~59,2016
Citroen,1,2,2,0,1,2,2,1,2,3,0,0,16,서울,개인,50~59,2016
Fiat,1,13,7,0,1,0,0,0,0,0,0,0,22,서울,개인,50~59,2016
Ford,27,21,23,21,29,29,32,11,21,18,13,21,266,서울,개인,50~59,2016
Honda,17,12,16,21,43,44,35,13,32,36,16,20,305,서울,개인,50~59,2016
Infiniti,3,7,4,7,14,9,5,8,7,2,4,5,75,서울,개인,50~59,2016
Jaguar,2,7,13,2,2,11,3,1,7,2,6,7,63,서울,개인,50~59,2016
Lamborghini,1,0,0,0,0,0,0,0,0,0,0,0,1,서울,개인,50~59,2016
Land Rover,14,20,25,12,7,23,18,18,28,28,20,30,243,서울,개인,50~59,2016
Lexus,32,36,48,43,38,56,52,44,40,46,55,70,560,서울,개인,50~59,2016
MINI,9,8,11,13,21,14,13,9,20,12,12,19,161,서울,개인,50~59,2016
Mercedes-Benz,221,164,205,154,162,235,143,189,190,124,184,92,"2,063",서울,개인,50~59,2016
Nissan,15,9,21,7,13,10,16,11,15,10,14,13,154,서울,개인,50~59,2016
Peugeot,2,7,8,6,4,4,2,5,6,2,4,4,54,서울,개인,50~59,2016
Porsche,7,7,6,8,11,9,3,1,10,7,3,17,89,서울,개인,50~59,2016
Rolls-Royce,0,0,0,1,0,0,0,1,0,0,0,0,2,서울,개인,50~59,2016
Toyota,33,35,37,37,27,25,38,44,35,45,37,41,434,서울,개인,50~59,2016
Volvo,11,13,13,22,14,19,25,8,9,15,12,5,166,서울,개인,50~59,2016
Audi,7,1,1,0,1,0,0,0,0,0,0,0,10,서울,개인,60~69,2016
BMW,17,22,46,44,44,38,25,20,36,30,43,49,414,서울,개인,60~69,2016
Bentley,0,0,0,0,1,0,0,0,0,0,0,1,2,서울,개인,60~69,2016
Cadillac,1,4,3,1,1,5,3,0,2,1,2,2,25,서울,개인,60~69,2016
Chrysler,3,2,2,9,8,4,3,4,1,2,3,4,45,서울,개인,60~69,2016
Citroen,0,0,0,0,0,0,1,0,0,0,0,1,2,서울,개인,60~69,2016
Fiat,0,0,1,2,0,0,0,0,0,0,0,0,3,서울,개인,60~69,2016
Ford,14,11,8,8,6,7,7,8,13,5,9,16,112,서울,개인,60~69,2016
Honda,9,6,11,10,22,28,19,8,14,15,14,9,165,서울,개인,60~69,2016
Infiniti,0,1,2,7,3,5,0,3,3,2,0,0,26,서울,개인,60~69,2016
Jaguar,1,2,4,0,2,2,2,0,3,0,0,2,18,서울,개인,60~69,2016
Land Rover,8,11,15,4,5,12,7,8,9,10,11,14,114,서울,개인,60~69,2016
Lexus,13,22,32,20,17,28,22,35,21,11,26,27,274,서울,개인,60~69,2016
MINI,2,3,3,5,8,6,2,2,5,2,2,4,44,서울,개인,60~69,2016
Mercedes-Benz,133,109,114,91,82,136,69,74,99,72,95,57,"1,131",서울,개인,60~69,2016
Nissan,4,3,4,2,7,5,6,7,5,1,4,6,54,서울,개인,60~69,2016
Peugeot,0,1,1,1,0,2,3,1,3,0,0,2,14,서울,개인,60~69,2016
Porsche,4,2,3,1,2,4,0,2,0,2,2,6,28,서울,개인,60~69,2016
Toyota,14,7,13,11,14,13,20,18,12,19,22,15,178,서울,개인,60~69,2016
Volvo,7,7,9,4,8,10,8,5,3,11,18,3,93,서울,개인,60~69,2016
Audi,1,2,0,0,0,0,0,0,0,0,0,0,3,서울,개인,70~,2016
BMW,5,7,13,9,13,13,4,9,6,10,7,14,110,서울,개인,70~,2016
Cadillac,0,0,0,0,1,0,1,0,1,0,3,0,6,서울,개인,70~,2016
Chrysler,0,0,1,1,0,0,0,2,2,0,1,1,8,서울,개인,70~,2016
Citroen,0,0,0,0,0,1,0,1,0,0,0,0,2,서울,개인,70~,2016
Fiat,0,0,1,0,0,0,0,0,0,0,0,0,1,서울,개인,70~,2016
Ford,7,3,5,3,2,3,5,5,2,2,3,0,40,서울,개인,70~,2016
Honda,2,2,1,0,1,7,1,2,2,4,2,1,25,서울,개인,70~,2016
Infiniti,0,0,0,2,1,0,0,0,1,0,0,1,5,서울,개인,70~,2016
Jaguar,0,1,2,2,0,0,0,1,1,0,0,0,7,서울,개인,70~,2016
Land Rover,0,2,0,2,1,1,2,2,2,1,3,6,22,서울,개인,70~,2016
Lexus,6,6,12,5,5,6,5,12,4,4,9,8,82,서울,개인,70~,2016
MINI,0,1,0,1,1,0,3,2,2,3,3,0,16,서울,개인,70~,2016
