구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age,year
Volvo,1,0,0,0,0,0,0,0,0,0,1,0,2,제주,개인,40~49,2017
Audi,1,1,1,0,0,0,0,0,0,0,0,0,3,제주,개인,50~59,2017
BMW,0,2,5,5,3,1,3,2,3,2,6,3,35,제주,개인,50~59,2017
Chrysler,2,1,0,0,2,1,6,2,2,4,6,4,30,제주,개인,50~59,2017
Citroen,0,0,0,0,0,0,1,0,1,0,0,0,2,제주,개인,50~59,2017
Fiat,1,2,0,0,0,0,0,0,0,0,0,0,3,제주,개인,50~59,2017
Ford,4,2,3,2,2,5,2,0,1,1,3,2,27,제주,개인,50~59,2017
Honda,0,1,0,0,0,0,3,3,0,0,0,1,8,제주,개인,50~59,2017
Infiniti,0,0,0,0,1,0,0,0,0,0,0,0,1,제주,개인,50~59,2017
Jaguar,0,0,1,0,0,0,0,0,0,1,0,1,3,제주,개인,50~59,2017
Land Rover,1,1,1,0,1,1,1,2,2,1,1,0,12,제주,개인,50~59,2017
Lexus,0,2,3,2,1,2,0,0,3,0,0,0,13,제주,개인,50~59,2017
MINI,1,1,1,2,2,1,3,1,2,0,2,1,17,제주,개인,50~59,2017
Mercedes-Benz,7,6,7,6,5,6,3,8,8,7,7,4,74,제주,개인,50~59,2017
Nissan,1,0,1,1,1,2,5,1,1,0,2,0,15,제주,개인,50~59,2017
Peugeot,1,1,0,1,1,1,3,1,1,1,1,2,14,제주,개인,50~59,2017
Porsche,2,0,1,0,0,0,0,0,0,0,0,0,3,제주,개인,50~59,2017
Toyota,0,1,0,0,0,1,1,1,0,0,2,0,6,제주,개인,50~59,2017
Volvo,1,0,0,1,0,0,0,0,1,0,0,0,3,제주,개인,50~59,2017
Audi,1,0,0,0,0,0,0,0,0,0,0,0,1,제주,개인,60~69,2017
BMW,4,2,3,1,2,1,1,4,3,1,2,3,27,제주,개인,60~69,2017
Chrysler,1,4,2,2,1,1,2,0,2,1,1,2,19,제주,개인,60~69,2017
Citroen,0,1,1,0,0,0,0,0,0,0,0,0,2,제주,개인,60~69,2017
Fiat,0,0,1,0,0,0,0,0,0,0,0,0,1,제주,개인,60~69,2017
Ford,0,1,2,0,2,2,0,1,1,1,0,1,11,제주,개인,60~69,2017
Honda,1,0,0,0,0,2,0,0,0,0,0,0,3,제주,개인,60~69,2017
Infiniti,0,0,2,1,0,0,0,0,0,0,0,0,3,제주,개인,60~69,2017
Land Rover,1,0,1,1,0,0,0,0,0,2,1,2,8,제주,개인,60~69,2017
Lexus,0,0,1,0,1,0,0,0,1,0,1,1,5,제주,개인,60~69,2017
MINI,0,0,1,0,0,0,1,2,0,0,0,0,4,제주,개인,60~69,2017
Mercedes-Benz,2,5,3,1,2,8,5,5,4,2,2,5,44,제주,개인,60~69,2017
Nissan,1,1,1,0,1,0,1,0,0,0,1,0,6,제주,개인,60~69,2017
Peugeot,1,0,0,0,0,1,0,0,1,0,0,0,3,제주,개인,60~69,2017
Toyota,0,0,0,0,0,0,0,0,1,0,1,0,2,제주,개인,60~69,2017
Volvo,0,0,0,0,1,1,0,0,0,0,0,0,2,제주,개인,60~69,2017
BMW,1,0,0,0,2,0,0,0,0,0,0,1,4,제주,개인,70~,2017
Ford,0,0,0,0,0,0,0,1,0,0,0,0,1,제주,개인,70~,2017
Honda,0,0,0,0,0,0,0,1,0,0,0,0,1,제주,개인,70~,2017
Jaguar,0,0,0,0,0,1,0,0,0,0,0,0,1,제주,개인,70~,2017
Land Rover,0,0,0,0,0,0,0,1,0,0,0,0,1,제주,개인,70~,2017
Lexus,0,0,1,0,0,0,1,0,0,0,0,0,2,제주,개인,70~,2017
MINI,0,0,0,0,0,0,0,1,0,0,0,0,1,제주,개인,70~,2017
Mercedes-Benz,0,3,1,1,0,0,0,0,1,1,0,3,10,제주,개인,70~,2017
Nissan,0,1,0,0,0,0,0,0,0,0,0,0,1,제주,개인,70~,2017
Porsche,0,0,0,0,0,0,0,0,0,0,0,1,1,제주,개인,70~,2017
Toyota,0,0,1,0,0,0,0,0,0,0,0,1,2,제주,개인,70~,2017
Volvo,0,0,0,0,0,1,0,0,0,1,0,0,2,제주,개인,70~,2017
BMW,0,2,4,2,2,1,2,0,5,2,2,4,26,제주,개인-남자,20~29,2017
Chrysler,0,0,1,1,1,0,0,2,0,1,0,0,6,제주,개인-남자,20~29,2017
Citroen,0,1,0,0,0,0,0,0,0,0,0,0,1,제주,개인-남자,20~29,2017
Ford,0,0,1,1,2,0,0,1,1,0,0,0,6,제주,개인-남자,20~29,2017
Infiniti,0,0,0,0,1,1,0,0,1,0,0,0,3,제주,개인-남자,20~29,2017
Jaguar,0,0,0,1,1,0,0,0,0,0,0,0,2,제주,개인-남자,20~29,2017
Land Rover,1,0,1,0,0,0,0,0,0,0,0,0,2,제주,개인-남자,20~29,2017
MINI,0,0,1,1,0,1,0,0,0,0,0,0,3,제주,개인-남자,20~29,2017
Mercedes-Benz,1,1,2,1,1,3,0,1,0,0,1,0,11,제주,개인-남자,20~29,2017
Nissan,0,0,0,1,1,0,1,0,1,0,0,0,4,제주,개인-남자,20~29,2017
Peugeot,0,1,1,0,0,0,0,1,0,0,0,0,3,제주,개인-남자,20~29,2017
Audi,2,0,0,0,0,0,0,0,0,0,0,0,2,제주,개인-남자,30~39,2017
BMW,5,2,8,11,3,1,2,0,8,5,12,5,62,제주,개인-남자,30~39,2017
Cadillac,0,0,0,0,1,1,2,0,0,2,0,1,7,제주,개인-남자,30~39,2017
Chrysler,2,3,1,1,5,3,3,2,6,1,2,2,31,제주,개인-남자,30~39,2017
Citroen,1,0,0,0,2,0,1,0,0,0,1,0,5,제주,개인-남자,30~39,2017
Fiat,0,2,1,0,0,0,0,0,0,0,0,0,3,제주,개인-남자,30~39,2017
Ford,1,2,2,1,3,2,3,1,4,1,1,3,24,제주,개인-남자,30~39,2017
Honda,0,0,0,1,1,0,0,0,0,3,0,1,6,제주,개인-남자,30~39,2017
Infiniti,0,0,0,2,1,0,0,0,0,1,1,0,5,제주,개인-남자,30~39,2017
Jaguar,0,0,1,0,0,0,0,0,0,0,0,0,1,제주,개인-남자,30~39,2017
Land Rover,0,1,1,1,1,1,0,0,3,0,2,1,11,제주,개인-남자,30~39,2017
Lexus,0,1,1,1,0,0,1,0,0,1,2,1,8,제주,개인-남자,30~39,2017
MINI,4,1,2,0,1,1,1,2,2,0,1,5,20,제주,개인-남자,30~39,2017
Mercedes-Benz,12,13,8,4,0,2,14,5,4,2,8,4,76,제주,개인-남자,30~39,2017
Nissan,1,1,1,1,0,1,4,0,0,0,1,2,12,제주,개인-남자,30~39,2017
Peugeot,0,1,2,1,2,0,1,0,1,0,1,0,9,제주,개인-남자,30~39,2017
Porsche,0,0,0,0,1,0,0,0,1,0,1,0,3,제주,개인-남자,30~39,2017
Toyota,0,0,0,0,0,0,1,1,0,2,0,3,7,제주,개인-남자,30~39,2017
Volvo,0,0,0,1,0,1,0,1,0,1,0,0,4,제주,개인-남자,30~39,2017
Audi,2,1,0,0,0,0,0,0,0,0,0,0,3,제주,개인-남자,40~49,2017
BMW,1,2,10,4,6,6,2,1,7,6,5,3,53,제주,개인-남자,40~49,2017
Bentley,0,0,0,0,1,0,0,0,0,0,0,0,1,제주,개인-남자,40~49,2017
Cadillac,0,0,0,0,0,1,1,0,0,0,0,0,2,제주,개인-남자,40~49,2017
Chrysler,1,2,3,2,4,3,1,1,1,2,2,1,23,제주,개인-남자,40~49,2017
Citroen,0,0,0,1,0,0,0,0,0,0,0,0,1,제주,개인-남자,40~49,2017
Fiat,0,1,1,0,0,0,0,0,0,0,0,0,2,제주,개인-남자,40~49,2017
Ford,1,4,2,1,3,2,2,4,4,2,3,0,28,제주,개인-남자,40~49,2017
Honda,0,0,0,0,3,1,1,0,0,0,0,0,5,제주,개인-남자,40~49,2017
Infiniti,0,0,0,0,0,1,0,0,1,1,0,0,3,제주,개인-남자,40~49,2017
Jaguar,0,0,1,0,0,0,0,0,0,0,1,1,3,제주,개인-남자,40~49,2017
Land Rover,2,0,2,0,0,0,4,2,0,2,1,2,15,제주,개인-남자,40~49,2017
Lexus,2,1,1,1,0,2,1,0,0,1,1,0,10,제주,개인-남자,40~49,2017
MINI,1,0,2,2,2,0,1,1,2,0,1,0,12,제주,개인-남자,40~49,2017
Mercedes-Benz,7,6,9,9,6,8,3,5,3,4,7,1,68,제주,개인-남자,40~49,2017
Nissan,1,4,3,2,0,2,1,0,2,0,1,0,16,제주,개인-남자,40~49,2017
Peugeot,0,0,1,1,0,2,3,1,0,0,1,0,9,제주,개인-남자,40~49,2017
Toyota,1,0,1,2,0,0,0,3,2,0,2,1,12,제주,개인-남자,40~49,2017
Volvo,1,0,0,0,0,0,0,0,0,0,1,0,2,제주,개인-남자,40~49,2017
Audi,1,1,1,0,0,0,0,0,0,0,0,0,3,제주,개인-남자,50~59,2017
BMW,0,2,2,4,2,1,2,2,3,2,5,1,26,제주,개인-남자,50~59,2017
Chrysler,1,1,0,0,2,0,4,1,2,1,4,4,20,제주,개인-남자,50~59,2017
Citroen,0,0,0,0,0,0,1,0,1,0,0,0,2,제주,개인-남자,50~59,2017
Ford,3,2,3,2,1,4,1,0,1,1,3,2,23,제주,개인-남자,50~59,2017
Honda,0,1,0,0,0,0,2,3,0,0,0,1,7,제주,개인-남자,50~59,2017
Infiniti,0,0,0,0,1,0,0,0,0,0,0,0,1,제주,개인-남자,50~59,2017
Jaguar,0,0,0,0,0,0,0,0,0,1,0,1,2,제주,개인-남자,50~59,2017
Land Rover,0,1,1,0,0,1,0,2,1,1,1,0,8,제주,개인-남자,50~59,2017
Lexus,0,1,3,2,0,2,0,0,1,0,0,0,9,제주,개인-남자,50~59,2017
MINI,1,0,1,0,1,1,1,0,0,0,2,0,7,제주,개인-남자,50~59,2017
Mercedes-Benz,2,3,6,3,3,4,3,3,6,4,5,3,45,제주,개인-남자,50~59,2017
Nissan,1,0,1,1,0,2,3,1,0,0,1,0,10,제주,개인-남자,50~59,2017
Peugeot,0,0,0,1,0,1,3,1,1,0,1,1,9,제주,개인-남자,50~59,2017
Porsche,2,0,1,0,0,0,0,0,0,0,0,0,3,제주,개인-남자,50~59,2017
Toyota,0,1,0,0,0,1,1,0,0,0,1,0,4,제주,개인-남자,50~59,2017
Volvo,1,0,0,0,0,0,0,0,1,0,0,0,2,제주,개인-남자,50~59,2017
Audi,1,0,0,0,0,0,0,0,0,0,0,0,1,제주,개인-남자,60~69,2017
BMW,1,1,2,1,1,0,1,2,2,1,0,2,14,제주,개인-남자,60~69,2017
Chrysler,1,4,1,1,0,0,1,0,1,1,0,2,12,제주,개인-남자,60~69,2017
Citroen,0,1,0,0,0,0,0,0,0,0,0,0,1,제주,개인-남자,60~69,2017
Fiat,0,0,1,0,0,0,0,0,0,0,0,0,1,제주,개인-남자,60~69,2017
Ford,0,1,0,0,2,2,0,0,1,0,0,1,7,제주,개인-남자,60~69,2017
Honda,1,0,0,0,0,2,0,0,0,0,0,0,3,제주,개인-남자,60~69,2017
Infiniti,0,0,2,0,0,0,0,0,0,0,0,0,2,제주,개인-남자,60~69,2017
Land Rover,0,0,1,0,0,0,0,0,0,2,0,1,4,제주,개인-남자,60~69,2017
Lexus,0,0,0,0,1,0,0,0,1,0,0,1,3,제주,개인-남자,60~69,2017
MINI,0,0,0,0,0,0,0,1,0,0,0,0,1,제주,개인-남자,60~69,2017
Mercedes-Benz,1,4,3,1,1,6,3,2,1,2,0,0,24,제주,개인-남자,60~69,2017
Nissan,0,1,1,0,1,0,1,0,0,0,0,0,4,제주,개인-남자,60~69,2017
Peugeot,1,0,0,0,0,1,0,0,1,0,0,0,3,제주,개인-남자,60~69,2017
Toyota,0,0,0,0,0,0,0,0,1,0,1,0,2,제주,개인-남자,60~69,2017
Volvo,0,0,0,0,0,1,0,0,0,0,0,0,1,제주,개인-남자,60~69,2017
BMW,1,0,0,0,2,0,0,0,0,0,0,1,4,제주,개인-남자,70~,2017
Ford,0,0,0,0,0,0,0,1,0,0,0,0,1,제주,개인-남자,70~,2017
Honda,0,0,0,0,0,0,0,1,0,0,0,0,1,제주,개인-남자,70~,2017
Land Rover,0,0,0,0,0,0,0,1,0,0,0,0,1,제주,개인-남자,70~,2017
MINI,0,0,0,0,0,0,0,1,0,0,0,0,1,제주,개인-남자,70~,2017
Mercedes-Benz,0,3,1,0,0,0,0,0,1,0,0,3,8,제주,개인-남자,70~,2017
Nissan,0,1,0,0,0,0,0,0,0,0,0,0,1,제주,개인-남자,70~,2017
Porsche,0,0,0,0,0,0,0,0,0,0,0,1,1,제주,개인-남자,70~,2017
Toyota,0,0,1,0,0,0,0,0,0,0,0,0,1,제주,개인-남자,70~,2017
Volvo,0,0,0,0,0,1,0,0,0,1,0,0,2,제주,개인-남자,70~,2017
Jaguar,1,0,0,0,0,0,0,0,0,0,0,0,1,제주,개인-여자,~19,2017
BMW,1,0,0,0,0,1,0,0,0,0,2,0,4,제주,개인-여자,20~29,2017
Chrysler,0,0,2,1,0,0,0,1,0,0,1,1,6,제주,개인-여자,20~29,2017
Citroen,0,0,1,0,0,0,0,0,0,0,0,0,1,제주,개인-여자,20~29,2017
Fiat,0,1,1,0,0,0,0,0,0,0,0,0,2,제주,개인-여자,20~29,2017
Jaguar,0,0,1,0,0,0,0,0,0,0,0,0,1,제주,개인-여자,20~29,2017
Land Rover,0,0,0,0,1,0,0,0,0,0,0,1,2,제주,개인-여자,20~29,2017
MINI,1,0,1,0,2,3,2,2,0,0,2,1,14,제주,개인-여자,20~29,2017
Mercedes-Benz,4,0,2,2,0,0,0,1,0,0,0,0,9,제주,개인-여자,20~29,2017
Nissan,0,0,0,0,0,0,0,0,0,1,0,0,1,제주,개인-여자,20~29,2017
Peugeot,1,0,0,0,0,1,0,0,1,0,0,1,4,제주,개인-여자,20~29,2017
Toyota,0,0,0,0,0,0,0,1,0,0,0,0,1,제주,개인-여자,20~29,2017
Audi,1,0,1,0,0,0,0,0,0,0,0,0,2,제주,개인-여자,30~39,2017
BMW,0,1,2,6,1,3,5,4,3,1,4,5,35,제주,개인-여자,30~39,2017
Chrysler,1,1,2,2,0,1,1,0,1,2,1,1,13,제주,개인-여자,30~39,2017
Citroen,0,0,0,0,0,0,1,2,0,0,0,0,3,제주,개인-여자,30~39,2017
Fiat,0,1,1,0,0,0,0,0,0,0,0,0,2,제주,개인-여자,30~39,2017
Ford,1,1,2,0,0,1,1,0,1,0,1,2,10,제주,개인-여자,30~39,2017
Honda,0,0,0,0,1,1,1,0,0,0,1,0,4,제주,개인-여자,30~39,2017
Infiniti,0,0,0,0,1,0,0,0,0,0,0,0,1,제주,개인-여자,30~39,2017
Jaguar,1,0,0,0,0,0,0,0,1,0,0,0,2,제주,개인-여자,30~39,2017
Land Rover,0,0,3,0,2,1,1,0,1,0,4,1,13,제주,개인-여자,30~39,2017
Lexus,0,0,1,1,1,0,0,0,0,0,0,0,3,제주,개인-여자,30~39,2017
MINI,3,1,2,2,4,3,3,1,1,2,3,1,26,제주,개인-여자,30~39,2017
Mercedes-Benz,6,5,5,1,4,6,3,7,2,2,4,1,46,제주,개인-여자,30~39,2017
Nissan,1,0,1,2,1,1,3,0,1,2,2,0,14,제주,개인-여자,30~39,2017
Peugeot,0,0,0,0,0,4,1,2,3,2,1,0,13,제주,개인-여자,30~39,2017
Porsche,0,0,1,0,0,0,0,0,0,0,0,1,2,제주,개인-여자,30~39,2017
Toyota,0,0,0,0,0,1,0,1,1,0,0,1,4,제주,개인-여자,30~39,2017
Volvo,0,0,0,1,0,1,0,0,0,1,0,0,3,제주,개인-여자,30~39,2017
BMW,0,2,4,2,4,3,2,1,3,4,2,2,29,제주,개인-여자,40~49,2017
Cadillac,0,0,0,0,0,0,1,0,0,0,0,0,1,제주,개인-여자,40~49,2017
Chrysler,0,2,1,2,0,3,2,2,1,2,1,1,17,제주,개인-여자,40~49,2017
Citroen,0,1,0,0,1,0,0,0,0,0,0,0,2,제주,개인-여자,40~49,2017
Ford,0,0,0,0,3,1,2,2,1,0,1,1,11,제주,개인-여자,40~49,2017
Jaguar,1,1,1,1,1,0,0,0,1,0,0,0,6,제주,개인-여자,40~49,2017
Land Rover,0,1,1,0,0,1,0,1,1,0,1,1,7,제주,개인-여자,40~49,2017
Lexus,1,1,0,0,0,0,0,1,0,0,0,0,3,제주,개인-여자,40~49,2017
MINI,1,0,0,3,2,1,3,0,7,2,4,1,24,제주,개인-여자,40~49,2017
Mercedes-Benz,8,7,6,0,8,4,3,8,8,5,4,7,68,제주,개인-여자,40~49,2017
Nissan,2,1,1,1,3,0,4,1,0,0,0,1,14,제주,개인-여자,40~49,2017
Peugeot,2,0,3,0,0,1,3,3,4,1,0,0,17,제주,개인-여자,40~49,2017
Porsche,1,0,0,0,0,1,0,0,1,0,0,0,3,제주,개인-여자,40~49,2017
Toyota,0,0,0,0,0,1,0,1,1,1,2,0,6,제주,개인-여자,40~49,2017
BMW,0,0,3,1,1,0,1,0,0,0,1,2,9,제주,개인-여자,50~59,2017
Chrysler,1,0,0,0,0,1,2,1,0,3,2,0,10,제주,개인-여자,50~59,2017
Fiat,1,2,0,0,0,0,0,0,0,0,0,0,3,제주,개인-여자,50~59,2017
Ford,1,0,0,0,1,1,1,0,0,0,0,0,4,제주,개인-여자,50~59,2017
Honda,0,0,0,0,0,0,1,0,0,0,0,0,1,제주,개인-여자,50~59,2017
Jaguar,0,0,1,0,0,0,0,0,0,0,0,0,1,제주,개인-여자,50~59,2017
Land Rover,1,0,0,0,1,0,1,0,1,0,0,0,4,제주,개인-여자,50~59,2017
Lexus,0,1,0,0,1,0,0,0,2,0,0,0,4,제주,개인-여자,50~59,2017
MINI,0,1,0,2,1,0,2,1,2,0,0,1,10,제주,개인-여자,50~59,2017
Mercedes-Benz,5,3,1,3,2,2,0,5,2,3,2,1,29,제주,개인-여자,50~59,2017
Nissan,0,0,0,0,1,0,2,0,1,0,1,0,5,제주,개인-여자,50~59,2017
Peugeot,1,1,0,0,1,0,0,0,0,1,0,1,5,제주,개인-여자,50~59,2017
Toyota,0,0,0,0,0,0,0,1,0,0,1,0,2,제주,개인-여자,50~59,2017
Volvo,0,0,0,1,0,0,0,0,0,0,0,0,1,제주,개인-여자,50~59,2017
BMW,3,1,1,0,1,1,0,2,1,0,2,1,13,제주,개인-여자,60~69,2017
Chrysler,0,0,1,1,1,1,1,0,1,0,1,0,7,제주,개인-여자,60~69,2017
Citroen,0,0,1,0,0,0,0,0,0,0,0,0,1,제주,개인-여자,60~69,2017
Ford,0,0,2,0,0,0,0,1,0,1,0,0,4,제주,개인-여자,60~69,2017
Infiniti,0,0,0,1,0,0,0,0,0,0,0,0,1,제주,개인-여자,60~69,2017
Land Rover,1,0,0,1,0,0,0,0,0,0,1,1,4,제주,개인-여자,60~69,2017
Lexus,0,0,1,0,0,0,0,0,0,0,1,0,2,제주,개인-여자,60~69,2017
MINI,0,0,1,0,0,0,1,1,0,0,0,0,3,제주,개인-여자,60~69,2017
Mercedes-Benz,1,1,0,0,1,2,2,3,3,0,2,5,20,제주,개인-여자,60~69,2017
Nissan,1,0,0,0,0,0,0,0,0,0,1,0,2,제주,개인-여자,60~69,2017
Volvo,0,0,0,0,1,0,0,0,0,0,0,0,1,제주,개인-여자,60~69,2017
Jaguar,0,0,0,0,0,1,0,0,0,0,0,0,1,제주,개인-여자,70~,2017
Lexus,0,0,1,0,0,0,1,0,0,0,0,0,2,제주,개인-여자,70~,2017
Mercedes-Benz,0,0,0,1,0,0,0,0,0,1,0,0,2,제주,개인-여자,70~,2017
Toyota,0,0,0,0,0,0,0,0,0,0,0,1,1,제주,개인-여자,70~,2017
BMW,0,0,1,0,0,0,0,0,0,1,0,0,2,서울,개인,~19,2018
Ford,0,0,0,0,0,0,1,1,0,0,0,0,2,서울,개인,~19,2018
Honda,1,0,0,0,0,0,0,0,0,0,0,0,1,서울,개인,~19,2018
Land Rover,0,0,0,0,0,0,0,0,1,0,0,0,1,서울,개인,~19,2018
MINI,0,1,0,0,0,0,0,0,0,0,0,0,1,서울,개인,~19,2018
Mercedes-Benz,0,0,0,0,0,1,0,0,0,0,0,0,1,서울,개인,~19,2018
Volkswagen,0,0,0,0,0,0,1,0,0,0,0,0,1,서울,개인,~19,2018
Audi,0,0,0,10,3,8,15,17,4,6,14,1,78,서울,개인,20~29,2018
BMW,51,86,74,91,86,59,53,40,14,32,44,53,683,서울,개인,20~29,2018
Cadillac,2,0,1,1,0,1,0,3,1,2,0,2,13,서울,개인,20~29,2018
Chrysler,1,9,4,2,4,7,7,10,13,10,7,6,80,서울,개인,20~29,2018
Citroen,0,0,1,0,0,0,1,4,3,1,1,0,11,서울,개인,20~29,2018
Ford,1,3,3,13,2,8,4,6,2,7,2,4,55,서울,개인,20~29,2018
Honda,3,3,5,3,1,1,2,3,7,7,10,0,45,서울,개인,20~29,2018
Infiniti,3,1,5,0,4,3,3,2,1,3,6,3,34,서울,개인,20~29,2018
Jaguar,2,5,12,1,0,5,3,5,3,2,0,1,39,서울,개인,20~29,2018
Land Rover,5,3,6,2,8,9,4,11,6,4,0,0,58,서울,개인,20~29,2018
Lexus,4,3,7,4,5,1,3,8,1,8,7,5,56,서울,개인,20~29,2018
MINI,3,15,24,15,14,14,25,18,26,39,18,12,223,서울,개인,20~29,2018
Maserati,1,2,1,0,3,1,0,4,3,1,2,0,18,서울,개인,20~29,2018
Mercedes-Benz,53,58,48,87,35,45,25,13,18,67,57,43,549,서울,개인,20~29,2018
Nissan,1,2,7,3,1,3,0,1,0,1,2,1,22,서울,개인,20~29,2018
Peugeot,1,5,3,3,2,1,3,2,1,1,0,0,22,서울,개인,20~29,2018
Porsche,5,4,3,4,5,4,2,7,0,8,2,4,48,서울,개인,20~29,2018
Toyota,2,7,13,20,13,8,11,6,14,16,22,7,139,서울,개인,20~29,2018
Volkswagen,0,0,1,2,14,11,21,25,1,0,16,5,96,서울,개인,20~29,2018
Volvo,4,4,2,4,4,2,3,3,4,2,3,1,36,서울,개인,20~29,2018
Audi,5,0,1,112,74,59,76,101,12,21,52,19,532,서울,개인,30~39,2018
BMW,324,462,404,454,338,257,245,140,117,134,164,207,"3,246",서울,개인,30~39,2018
Bentley,1,0,0,1,0,0,0,0,0,1,0,0,3,서울,개인,30~39,2018
Cadillac,2,6,2,2,5,6,4,12,16,15,7,7,84,서울,개인,30~39,2018
Chrysler,13,26,26,29,28,24,21,32,63,29,46,34,371,서울,개인,30~39,2018
Citroen,6,3,3,4,4,3,10,17,8,8,5,0,71,서울,개인,30~39,2018
Ford,31,33,31,31,40,41,33,43,29,27,33,30,402,서울,개인,30~39,2018
Honda,14,19,45,14,21,37,34,49,56,55,67,39,450,서울,개인,30~39,2018
Infiniti,19,18,19,17,14,14,13,14,12,14,9,17,180,서울,개인,30~39,2018
Jaguar,18,23,35,4,2,17,7,16,15,6,3,8,154,서울,개인,30~39,2018
Lamborghini,0,1,0,0,0,0,0,0,0,0,0,0,1,서울,개인,30~39,2018
Land Rover,26,32,92,42,45,79,39,72,61,19,7,18,532,서울,개인,30~39,2018
Lexus,61,47,54,34,40,33,30,26,18,72,77,64,556,서울,개인,30~39,2018
MINI,35,54,90,56,38,57,69,73,70,108,50,34,734,서울,개인,30~39,2018
Maserati,1,3,6,6,7,3,2,4,6,0,3,1,42,서울,개인,30~39,2018
Mercedes-Benz,336,325,455,453,277,287,171,113,87,347,354,316,"3,521",서울,개인,30~39,2018
Nissan,16,23,31,16,19,18,15,22,11,19,15,24,229,서울,개인,30~39,2018
Peugeot,13,18,22,17,15,19,9,27,23,11,5,15,194,서울,개인,30~39,2018
Porsche,28,14,27,13,8,21,16,15,10,34,15,6,207,서울,개인,30~39,2018
Rolls-Royce,0,0,0,0,0,0,0,2,0,0,0,0,2,서울,개인,30~39,2018
Toyota,72,83,93,111,109,93,76,96,71,88,126,102,"1,120",서울,개인,30~39,2018
Volkswagen,0,0,9,55,178,132,122,135,26,0,105,99,861,서울,개인,30~39,2018
Volvo,58,17,26,51,54,48,56,64,46,44,55,41,560,서울,개인,30~39,2018
Audi,2,1,0,122,74,72,70,65,3,10,19,30,468,서울,개인,40~49,2018
BMW,203,229,295,283,233,170,159,71,68,105,98,132,"2,046",서울,개인,40~49,2018
Bentley,3,1,0,1,0,0,1,0,0,0,0,0,6,서울,개인,40~49,2018
Cadillac,4,3,3,2,5,2,5,7,4,13,9,13,70,서울,개인,40~49,2018
Chrysler,12,7,26,15,20,27,9,29,49,18,27,35,274,서울,개인,40~49,2018
Citroen,2,4,2,3,5,4,1,7,4,4,7,0,43,서울,개인,40~49,2018
Ford,39,30,49,53,48,44,40,59,33,47,32,43,517,서울,개인,40~49,2018
Honda,17,22,51,25,28,35,42,50,60,55,55,53,493,서울,개인,40~49,2018
Infiniti,8,8,13,22,16,13,12,12,14,10,9,25,162,서울,개인,40~49,2018
Jaguar,12,22,28,8,4,17,12,15,14,3,1,3,139,서울,개인,40~49,2018
Land Rover,33,28,71,43,34,45,42,48,39,17,19,18,437,서울,개인,40~49,2018
Lexus,65,52,93,50,61,59,45,27,16,126,126,76,796,서울,개인,40~49,2018
MINI,24,36,49,30,26,28,53,37,37,54,32,27,433,서울,개인,40~49,2018
Maserati,6,6,3,4,6,2,5,4,6,4,1,2,49,서울,개인,40~49,2018
Mercedes-Benz,292,273,389,327,224,243,140,102,61,299,299,269,"2,918",서울,개인,40~49,2018
Nissan,16,19,33,19,14,35,18,28,27,17,14,20,260,서울,개인,40~49,2018
Peugeot,13,14,20,13,10,16,14,24,12,20,2,7,165,서울,개인,40~49,2018
Porsche,22,13,19,12,22,24,17,26,14,26,18,9,222,서울,개인,40~49,2018
Rolls-Royce,0,0,0,0,1,0,0,0,0,0,0,0,1,서울,개인,40~49,2018
Toyota,72,93,104,101,88,76,90,81,59,75,116,93,"1,048",서울,개인,40~49,2018
Volkswagen,0,0,10,54,100,87,84,82,19,1,54,62,553,서울,개인,40~49,2018
Volvo,39,35,31,60,50,40,53,51,34,45,37,39,514,서울,개인,40~49,2018
Audi,4,0,0,76,42,32,28,28,1,1,5,15,232,서울,개인,50~59,2018
BMW,111,136,155,115,104,63,78,36,25,29,53,66,971,서울,개인,50~59,2018
Bentley,0,0,3,1,1,1,1,0,0,0,0,0,7,서울,개인,50~59,2018
Cadillac,1,3,5,4,4,6,3,8,1,5,3,5,48,서울,개인,50~59,2018
Chrysler,8,11,13,12,17,19,14,21,33,26,19,23,216,서울,개인,50~59,2018
Citroen,0,0,0,0,2,0,0,1,1,2,1,0,7,서울,개인,50~59,2018
Ford,30,22,21,38,30,30,23,27,32,33,22,23,331,서울,개인,50~59,2018
Honda,14,9,23,15,25,14,21,20,34,17,17,26,235,서울,개인,50~59,2018
Infiniti,4,7,4,9,7,7,2,7,3,5,4,14,73,서울,개인,50~59,2018
Jaguar,5,4,19,13,4,3,3,6,1,4,3,2,67,서울,개인,50~59,2018
Land Rover,17,10,32,23,27,36,23,26,11,12,8,10,235,서울,개인,50~59,2018
Lexus,59,55,51,47,47,39,42,23,15,102,102,71,653,서울,개인,50~59,2018
MINI,8,12,26,12,10,12,11,17,19,14,11,10,162,서울,개인,50~59,2018
Maserati,3,1,6,0,4,6,3,4,1,1,1,4,34,서울,개인,50~59,2018
Mercedes-Benz,229,210,245,204,198,151,117,83,38,203,196,164,"2,038",서울,개인,50~59,2018
Nissan,13,11,14,6,13,9,5,15,10,11,10,19,136,서울,개인,50~59,2018
Peugeot,3,6,1,9,5,6,3,13,2,10,1,9,68,서울,개인,50~59,2018
Porsche,15,7,16,5,9,7,11,17,1,7,9,2,106,서울,개인,50~59,2018
