구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age
Volvo,0,2,0,3,2,3,0,1,1,2,6,1,21,대구,개인-여자,30~39
BMW,3,10,12,23,11,21,6,9,9,12,19,15,150,대구,개인-여자,40~49
Bentley,0,0,0,0,0,0,0,0,0,1,0,0,1,대구,개인-여자,40~49
Cadillac,0,0,0,0,2,0,0,0,1,0,2,0,5,대구,개인-여자,40~49
Chrysler,0,1,1,1,1,3,1,2,2,3,5,1,21,대구,개인-여자,40~49
Fiat,0,0,1,1,0,0,0,0,0,0,0,0,2,대구,개인-여자,40~49
Ford,4,0,2,4,1,5,5,1,0,1,7,5,35,대구,개인-여자,40~49
Honda,3,1,3,5,7,13,3,4,5,7,3,2,56,대구,개인-여자,40~49
Infiniti,0,0,0,0,1,3,2,2,0,0,1,1,10,대구,개인-여자,40~49
Jaguar,1,0,3,1,0,0,1,1,1,0,0,0,8,대구,개인-여자,40~49
Land Rover,1,3,4,0,1,2,2,2,4,2,1,2,24,대구,개인-여자,40~49
Lexus,5,3,4,6,0,5,8,6,7,2,4,5,55,대구,개인-여자,40~49
MINI,2,3,2,3,4,6,1,3,5,4,3,5,41,대구,개인-여자,40~49
Mercedes-Benz,33,21,27,20,15,20,33,13,20,19,22,12,255,대구,개인-여자,40~49
Nissan,4,3,2,2,5,6,4,2,2,3,7,1,41,대구,개인-여자,40~49
Peugeot,0,2,1,1,1,2,2,1,1,2,1,2,16,대구,개인-여자,40~49
Porsche,1,0,0,0,1,0,2,0,0,1,0,0,5,대구,개인-여자,40~49
Toyota,6,7,7,6,4,3,9,9,3,6,5,8,73,대구,개인-여자,40~49
Volvo,0,2,4,2,3,2,4,3,0,2,4,0,26,대구,개인-여자,40~49
BMW,4,9,9,13,14,6,8,5,8,8,7,10,101,대구,개인-여자,50~59
Cadillac,1,1,0,0,1,0,0,0,0,1,0,0,4,대구,개인-여자,50~59
Chrysler,1,1,1,1,0,3,1,1,5,0,0,2,16,대구,개인-여자,50~59
Citroen,0,0,1,0,0,0,0,0,1,0,0,0,2,대구,개인-여자,50~59
Fiat,0,2,0,0,0,0,0,0,0,0,0,0,2,대구,개인-여자,50~59
Ford,5,2,1,1,1,2,0,3,1,1,0,2,19,대구,개인-여자,50~59
Honda,3,2,0,5,4,2,3,3,4,2,2,2,32,대구,개인-여자,50~59
Infiniti,0,1,0,1,1,0,2,0,0,0,1,1,7,대구,개인-여자,50~59
Jaguar,0,1,1,0,0,1,0,0,0,0,0,0,3,대구,개인-여자,50~59
Land Rover,0,0,0,0,0,0,1,1,0,2,0,0,4,대구,개인-여자,50~59
Lexus,1,3,3,4,6,5,8,5,2,6,5,10,58,대구,개인-여자,50~59
MINI,0,2,0,1,2,2,2,0,2,3,0,2,16,대구,개인-여자,50~59
Mercedes-Benz,34,15,21,12,9,20,19,15,11,7,15,14,192,대구,개인-여자,50~59
Nissan,0,3,1,2,2,3,5,0,3,0,0,1,20,대구,개인-여자,50~59
Peugeot,0,1,1,2,0,0,1,0,0,1,0,0,6,대구,개인-여자,50~59
Porsche,0,0,0,0,1,1,0,0,0,0,0,2,4,대구,개인-여자,50~59
Toyota,1,2,1,1,5,2,8,4,2,3,8,3,40,대구,개인-여자,50~59
Volvo,1,1,2,3,0,2,2,1,0,0,4,3,19,대구,개인-여자,50~59
BMW,2,1,4,1,4,5,1,2,1,3,4,2,30,대구,개인-여자,60~69
Chrysler,0,0,0,1,0,0,0,2,0,1,0,0,4,대구,개인-여자,60~69
Fiat,0,1,0,0,0,0,0,0,0,0,0,0,1,대구,개인-여자,60~69
Ford,0,0,1,0,1,1,1,0,0,0,0,0,4,대구,개인-여자,60~69
Honda,2,1,0,0,2,2,0,1,1,1,0,1,11,대구,개인-여자,60~69
Jaguar,0,0,0,1,0,0,0,1,0,0,0,0,2,대구,개인-여자,60~69
Land Rover,3,0,0,0,0,0,1,0,0,1,0,1,6,대구,개인-여자,60~69
Lexus,0,1,5,1,1,3,3,1,2,2,2,4,25,대구,개인-여자,60~69
MINI,0,0,0,1,2,0,0,2,1,0,1,0,7,대구,개인-여자,60~69
Mercedes-Benz,9,3,10,10,5,11,4,4,6,2,4,3,71,대구,개인-여자,60~69
Nissan,0,0,0,0,1,2,1,1,0,0,0,1,6,대구,개인-여자,60~69
Peugeot,0,0,0,0,1,0,0,0,0,0,0,0,1,대구,개인-여자,60~69
Toyota,1,0,1,3,0,1,2,2,1,1,1,1,14,대구,개인-여자,60~69
Volvo,1,0,1,0,0,1,0,0,0,0,1,0,4,대구,개인-여자,60~69
BMW,0,0,1,0,1,1,0,0,0,0,0,0,3,대구,개인-여자,70~
Ford,1,0,0,0,1,0,0,0,0,0,1,0,3,대구,개인-여자,70~
Honda,0,1,0,0,1,0,0,0,1,0,0,1,4,대구,개인-여자,70~
Jaguar,0,0,1,0,0,1,0,0,0,0,0,0,2,대구,개인-여자,70~
Lexus,0,0,1,0,0,0,1,1,0,0,0,0,3,대구,개인-여자,70~
Mercedes-Benz,1,1,3,3,0,0,1,0,3,1,2,1,16,대구,개인-여자,70~
Peugeot,0,0,1,0,0,0,0,0,0,0,0,1,2,대구,개인-여자,70~
Porsche,0,0,0,0,1,0,0,0,0,0,0,0,1,대구,개인-여자,70~
Toyota,0,0,0,0,0,1,1,0,0,0,1,0,3,대구,개인-여자,70~
Audi,0,2,0,0,0,0,0,0,0,0,0,0,2,인천,개인,20~29
BMW,7,13,22,30,21,20,20,17,28,10,30,31,249,인천,개인,20~29
Cadillac,0,0,0,0,0,1,0,1,1,2,0,0,5,인천,개인,20~29
Chrysler,1,0,1,2,2,2,1,1,2,4,2,2,20,인천,개인,20~29
Citroen,0,0,0,0,0,1,0,1,0,0,1,0,3,인천,개인,20~29
Fiat,0,1,2,2,0,0,0,1,0,0,0,0,6,인천,개인,20~29
Ford,2,1,0,4,2,0,2,2,1,1,1,1,17,인천,개인,20~29
Honda,3,1,0,0,3,3,1,2,7,4,3,5,32,인천,개인,20~29
Infiniti,0,0,1,0,2,1,0,0,1,0,0,2,7,인천,개인,20~29
Jaguar,0,2,3,0,0,0,1,0,0,1,0,0,7,인천,개인,20~29
Land Rover,0,2,3,0,0,0,3,4,5,3,5,0,25,인천,개인,20~29
Lexus,1,2,0,1,1,1,0,0,4,1,0,1,12,인천,개인,20~29
MINI,8,3,2,1,12,10,5,5,14,4,7,14,85,인천,개인,20~29
Mercedes-Benz,14,12,14,9,9,13,14,8,6,2,21,6,128,인천,개인,20~29
Nissan,4,1,10,4,2,3,1,2,1,2,1,4,35,인천,개인,20~29
Peugeot,0,1,3,0,1,0,4,3,1,2,4,3,22,인천,개인,20~29
Porsche,0,0,1,0,0,1,0,0,1,0,0,0,3,인천,개인,20~29
Toyota,3,5,4,0,1,3,5,2,4,3,3,8,41,인천,개인,20~29
Volvo,1,0,0,0,0,0,1,0,0,0,0,0,2,인천,개인,20~29
Audi,2,2,1,0,0,0,0,0,0,0,0,0,5,인천,개인,30~39
BMW,14,50,95,93,85,84,37,49,83,68,124,94,876,인천,개인,30~39
Cadillac,3,0,3,1,2,0,1,1,3,3,3,3,23,인천,개인,30~39
Chrysler,10,3,9,9,8,7,6,6,11,3,8,7,87,인천,개인,30~39
Citroen,1,1,5,1,1,2,1,1,1,1,1,0,16,인천,개인,30~39
Fiat,1,11,11,5,1,1,0,0,0,0,0,0,30,인천,개인,30~39
Ford,10,8,4,12,14,15,15,7,4,11,11,11,122,인천,개인,30~39
Honda,20,9,13,21,21,27,15,9,19,18,19,11,202,인천,개인,30~39
Infiniti,1,0,4,8,3,2,4,5,3,3,2,2,37,인천,개인,30~39
Jaguar,0,2,10,0,6,3,4,1,1,2,2,2,33,인천,개인,30~39
Land Rover,7,5,13,2,2,3,4,7,12,9,12,13,89,인천,개인,30~39
Lexus,5,13,7,15,8,15,14,18,8,10,13,9,135,인천,개인,30~39
MINI,13,20,24,15,33,15,17,16,18,16,26,29,242,인천,개인,30~39
Mercedes-Benz,74,59,60,69,56,81,47,55,53,47,78,33,712,인천,개인,30~39
Nissan,10,15,9,9,12,8,14,18,13,9,13,5,135,인천,개인,30~39
Peugeot,2,4,8,4,2,6,5,5,2,5,7,6,56,인천,개인,30~39
Porsche,3,1,0,0,8,3,3,0,2,1,1,3,25,인천,개인,30~39
Toyota,18,16,23,23,25,24,22,23,18,30,22,20,264,인천,개인,30~39
Volvo,4,3,12,7,7,5,8,8,6,5,9,1,75,인천,개인,30~39
Audi,2,5,1,0,0,0,0,0,0,0,0,0,8,인천,개인,40~49
BMW,14,18,45,53,49,42,18,34,46,49,63,47,478,인천,개인,40~49
Bentley,0,0,0,0,1,0,0,0,0,0,0,0,1,인천,개인,40~49
Cadillac,1,1,1,3,4,3,2,3,1,0,1,1,21,인천,개인,40~49
Chrysler,9,5,5,7,14,8,8,7,3,3,8,6,83,인천,개인,40~49
Citroen,1,0,1,0,4,2,0,1,1,1,1,1,13,인천,개인,40~49
Fiat,1,1,9,0,0,0,0,0,0,0,0,0,11,인천,개인,40~49
Ford,16,6,15,12,13,25,12,8,15,13,15,11,161,인천,개인,40~49
Honda,7,11,4,13,19,31,8,13,16,13,17,8,160,인천,개인,40~49
Infiniti,2,0,2,1,7,2,2,4,3,4,1,3,31,인천,개인,40~49
Jaguar,1,0,13,0,2,4,3,1,0,0,3,3,30,인천,개인,40~49
Land Rover,1,7,8,1,4,4,8,5,14,11,3,8,74,인천,개인,40~49
Lexus,11,17,9,15,5,9,15,17,13,7,17,20,155,인천,개인,40~49
MINI,15,7,6,6,10,15,10,9,10,11,6,14,119,인천,개인,40~49
Mercedes-Benz,60,39,53,45,47,67,45,43,52,45,42,25,563,인천,개인,40~49
Nissan,9,14,16,9,14,13,22,14,14,6,12,15,158,인천,개인,40~49
Peugeot,2,5,2,2,3,2,8,7,1,1,4,7,44,인천,개인,40~49
Porsche,1,0,0,0,6,0,1,0,0,1,2,1,12,인천,개인,40~49
Toyota,14,11,20,14,14,21,24,28,17,26,29,14,232,인천,개인,40~49
Volvo,6,1,6,2,5,8,6,3,4,2,5,1,49,인천,개인,40~49
Audi,2,0,0,0,0,0,0,0,0,0,0,0,2,인천,개인,50~59
BMW,11,9,23,22,18,13,14,8,15,10,26,24,193,인천,개인,50~59
Cadillac,1,3,3,1,5,4,4,3,3,1,3,6,37,인천,개인,50~59
Chrysler,3,10,7,7,8,9,5,2,2,3,5,3,64,인천,개인,50~59
Citroen,0,2,0,0,0,0,0,0,0,1,0,0,3,인천,개인,50~59
Fiat,1,3,2,0,0,0,0,0,0,0,0,0,6,인천,개인,50~59
Ford,7,8,7,6,10,8,7,7,5,7,7,9,88,인천,개인,50~59
Honda,10,5,3,8,8,21,16,5,12,12,8,11,119,인천,개인,50~59
Infiniti,1,3,0,1,0,0,1,0,1,4,2,1,14,인천,개인,50~59
Jaguar,1,1,2,0,0,2,1,1,2,0,0,2,12,인천,개인,50~59
Land Rover,2,4,9,1,2,3,5,2,5,9,5,3,50,인천,개인,50~59
Lexus,5,6,10,6,6,7,9,4,5,6,8,10,82,인천,개인,50~59
MINI,3,3,3,2,5,0,3,5,4,4,7,7,46,인천,개인,50~59
Mercedes-Benz,44,30,36,29,20,26,24,24,29,18,29,19,328,인천,개인,50~59
Nissan,2,7,8,8,4,5,7,6,10,3,2,6,68,인천,개인,50~59
Peugeot,1,2,0,1,0,2,3,2,1,2,1,2,17,인천,개인,50~59
Porsche,0,1,0,1,1,0,1,0,0,0,0,0,4,인천,개인,50~59
Toyota,9,11,10,6,9,8,7,14,1,15,16,14,120,인천,개인,50~59
Volvo,4,3,5,2,2,2,4,2,2,2,2,0,30,인천,개인,50~59
Audi,1,1,1,0,0,0,0,0,0,0,0,0,3,인천,개인,60~69
BMW,1,3,6,5,6,9,5,7,8,8,11,7,76,인천,개인,60~69
Cadillac,1,1,0,0,1,1,0,0,2,0,0,0,6,인천,개인,60~69
Chrysler,0,4,1,1,1,0,0,1,0,0,0,1,9,인천,개인,60~69
Fiat,0,2,1,0,1,0,0,0,0,0,0,0,4,인천,개인,60~69
Ford,6,1,1,2,3,0,3,1,0,1,5,1,24,인천,개인,60~69
Honda,1,5,1,3,3,4,3,3,5,4,3,3,38,인천,개인,60~69
Infiniti,0,0,1,0,0,0,0,0,0,0,0,0,1,인천,개인,60~69
Jaguar,0,0,2,0,0,0,0,0,0,1,0,1,4,인천,개인,60~69
Land Rover,1,0,3,0,0,0,0,3,1,1,1,2,12,인천,개인,60~69
Lexus,0,3,6,6,1,5,6,3,5,4,3,4,46,인천,개인,60~69
MINI,1,0,2,0,4,3,3,1,0,0,1,1,16,인천,개인,60~69
Mercedes-Benz,13,7,14,9,6,21,6,13,7,9,5,6,116,인천,개인,60~69
Nissan,1,0,1,1,2,0,1,1,1,3,1,0,12,인천,개인,60~69
Peugeot,0,1,1,1,0,0,0,0,1,0,2,0,6,인천,개인,60~69
Toyota,3,3,6,6,4,5,5,4,3,3,8,3,53,인천,개인,60~69
Volvo,0,2,0,0,2,0,1,1,1,0,0,0,7,인천,개인,60~69
BMW,1,2,0,0,0,2,1,1,1,0,3,1,12,인천,개인,70~
Bentley,0,0,0,0,0,1,0,0,0,0,0,0,1,인천,개인,70~
Chrysler,0,0,0,1,1,1,0,0,0,0,0,0,3,인천,개인,70~
Ford,0,0,1,0,0,0,0,0,0,0,0,2,3,인천,개인,70~
Honda,0,1,0,0,1,0,1,0,0,0,1,0,4,인천,개인,70~
Infiniti,0,0,0,1,0,0,0,0,0,0,0,0,1,인천,개인,70~
Jaguar,0,0,0,0,1,0,0,0,0,0,0,0,1,인천,개인,70~
Land Rover,0,1,0,0,0,0,0,0,0,0,0,0,1,인천,개인,70~
Lexus,0,2,0,2,0,0,1,1,0,0,1,1,8,인천,개인,70~
Mercedes-Benz,4,4,4,3,0,4,2,0,4,3,1,1,30,인천,개인,70~
Nissan,0,1,2,0,0,0,0,0,0,1,0,0,4,인천,개인,70~
Toyota,1,0,0,0,0,0,1,0,0,0,0,0,2,인천,개인,70~
Volvo,1,0,1,0,1,0,0,1,0,0,0,0,4,인천,개인,70~
Audi,0,2,0,0,0,0,0,0,0,0,0,0,2,인천,개인-남자,20~29
BMW,6,11,21,24,15,14,14,15,20,8,27,25,200,인천,개인-남자,20~29
Cadillac,0,0,0,0,0,0,0,1,1,2,0,0,4,인천,개인-남자,20~29
Chrysler,0,0,1,2,2,0,0,1,1,2,1,1,11,인천,개인-남자,20~29
Citroen,0,0,0,0,0,0,0,0,0,0,1,0,1,인천,개인-남자,20~29
Fiat,0,0,0,1,0,0,0,0,0,0,0,0,1,인천,개인-남자,20~29
Ford,2,1,0,3,1,0,1,2,1,1,1,1,14,인천,개인-남자,20~29
Honda,2,1,0,0,2,2,1,2,7,4,3,5,29,인천,개인-남자,20~29
Infiniti,0,0,1,0,1,1,0,0,1,0,0,2,6,인천,개인-남자,20~29
Jaguar,0,1,2,0,0,0,1,0,0,1,0,0,5,인천,개인-남자,20~29
Land Rover,0,2,2,0,0,0,1,4,4,3,2,0,18,인천,개인-남자,20~29
Lexus,1,2,0,0,1,1,0,0,4,1,0,0,10,인천,개인-남자,20~29
MINI,4,0,0,1,5,3,0,2,3,1,3,5,27,인천,개인-남자,20~29
Mercedes-Benz,11,7,9,7,6,8,11,7,4,0,14,4,88,인천,개인-남자,20~29
Nissan,2,1,8,4,2,3,1,2,1,2,1,3,30,인천,개인-남자,20~29
Peugeot,0,0,1,0,0,0,2,2,0,0,3,1,9,인천,개인-남자,20~29
Porsche,0,0,1,0,0,0,0,0,1,0,0,0,2,인천,개인-남자,20~29
Toyota,1,4,3,0,1,2,5,2,3,3,2,6,32,인천,개인-남자,20~29
Volvo,1,0,0,0,0,0,0,0,0,0,0,0,1,인천,개인-남자,20~29
Audi,2,2,1,0,0,0,0,0,0,0,0,0,5,인천,개인-남자,30~39
BMW,11,41,77,72,62,70,25,35,53,48,97,76,667,인천,개인-남자,30~39
Cadillac,2,0,2,0,2,0,1,1,3,1,3,2,17,인천,개인-남자,30~39
Chrysler,5,2,7,7,6,5,4,4,9,2,7,4,62,인천,개인-남자,30~39
Citroen,1,1,3,0,1,1,1,0,1,0,1,0,10,인천,개인-남자,30~39
Fiat,0,4,6,3,1,0,0,0,0,0,0,0,14,인천,개인-남자,30~39
Ford,7,7,3,8,14,9,14,5,3,11,10,7,98,인천,개인-남자,30~39
Honda,14,8,9,18,17,24,11,5,15,15,17,6,159,인천,개인-남자,30~39
Infiniti,1,0,3,8,2,1,2,5,3,2,2,2,31,인천,개인-남자,30~39
Jaguar,0,1,9,0,5,2,3,0,1,1,1,0,23,인천,개인-남자,30~39
Land Rover,3,2,7,2,1,3,2,4,7,7,7,6,51,인천,개인-남자,30~39
Lexus,4,8,6,14,3,11,11,13,7,8,11,6,102,인천,개인-남자,30~39
MINI,7,13,11,5,15,6,7,6,8,10,7,14,109,인천,개인-남자,30~39
Mercedes-Benz,49,32,42,44,34,54,29,29,32,26,43,24,438,인천,개인-남자,30~39
Nissan,9,11,6,9,12,7,8,11,9,3,7,4,96,인천,개인-남자,30~39
Peugeot,1,2,3,4,1,2,4,4,2,5,5,3,36,인천,개인-남자,30~39
Porsche,2,0,0,0,5,3,2,0,2,1,1,1,17,인천,개인-남자,30~39
Toyota,13,14,14,17,18,21,14,13,15,24,19,17,199,인천,개인-남자,30~39
Volvo,2,3,8,4,5,2,4,5,5,4,6,0,48,인천,개인-남자,30~39
Audi,2,5,1,0,0,0,0,0,0,0,0,0,8,인천,개인-남자,40~49
BMW,9,15,31,37,35,31,7,27,32,38,47,34,343,인천,개인-남자,40~49
Bentley,0,0,0,0,1,0,0,0,0,0,0,0,1,인천,개인-남자,40~49
Cadillac,1,1,1,3,3,2,2,3,0,0,1,1,18,인천,개인-남자,40~49
Chrysler,7,3,3,7,8,6,7,4,1,1,7,5,59,인천,개인-남자,40~49
Citroen,1,0,1,0,3,2,0,1,1,1,1,0,11,인천,개인-남자,40~49
Fiat,0,0,5,0,0,0,0,0,0,0,0,0,5,인천,개인-남자,40~49
Ford,12,6,13,7,11,20,7,4,8,11,12,8,119,인천,개인-남자,40~49
Honda,4,7,4,10,14,26,4,10,13,6,15,8,121,인천,개인-남자,40~49
Infiniti,2,0,1,1,5,2,2,1,2,3,1,3,23,인천,개인-남자,40~49
Jaguar,1,0,11,0,1,2,3,1,0,0,3,2,24,인천,개인-남자,40~49
Land Rover,1,6,7,1,2,4,5,4,9,6,2,5,52,인천,개인-남자,40~49
Lexus,3,11,8,10,4,6,14,14,10,4,9,13,106,인천,개인-남자,40~49
MINI,7,5,4,2,3,7,5,5,5,3,5,9,60,인천,개인-남자,40~49
Mercedes-Benz,27,24,34,36,34,45,28,31,36,28,21,12,356,인천,개인-남자,40~49
Nissan,9,7,10,7,10,11,13,10,5,5,9,11,107,인천,개인-남자,40~49
Peugeot,2,3,1,2,2,2,3,4,1,0,3,2,25,인천,개인-남자,40~49
Porsche,1,0,0,0,5,0,1,0,0,1,0,1,9,인천,개인-남자,40~49
Toyota,10,5,18,10,7,12,16,21,11,18,20,9,157,인천,개인-남자,40~49
Volvo,6,1,5,1,5,5,5,3,3,2,3,1,40,인천,개인-남자,40~49
Audi,1,0,0,0,0,0,0,0,0,0,0,0,1,인천,개인-남자,50~59
BMW,6,7,18,15,10,8,8,6,9,5,19,17,128,인천,개인-남자,50~59
Cadillac,1,3,3,0,4,3,4,3,3,1,2,5,32,인천,개인-남자,50~59
Chrysler,1,8,4,5,5,8,4,2,1,3,3,2,46,인천,개인-남자,50~59
Citroen,0,2,0,0,0,0,0,0,0,1,0,0,3,인천,개인-남자,50~59
Fiat,1,1,0,0,0,0,0,0,0,0,0,0,2,인천,개인-남자,50~59
Ford,6,7,4,5,6,5,7,5,5,6,5,7,68,인천,개인-남자,50~59
Honda,4,2,2,4,6,11,16,5,10,10,8,9,87,인천,개인-남자,50~59
Infiniti,1,2,0,1,0,0,1,0,1,3,2,0,11,인천,개인-남자,50~59
Jaguar,0,1,1,0,0,2,0,1,2,0,0,0,7,인천,개인-남자,50~59
Land Rover,2,4,6,1,1,3,4,1,2,4,4,3,35,인천,개인-남자,50~59
Lexus,4,2,8,3,5,5,7,3,4,5,5,6,57,인천,개인-남자,50~59
MINI,2,2,3,2,1,0,2,2,4,3,5,4,30,인천,개인-남자,50~59
Mercedes-Benz,27,15,20,17,13,12,12,12,20,10,21,11,190,인천,개인-남자,50~59
Nissan,2,6,4,5,2,4,6,2,7,1,2,5,46,인천,개인-남자,50~59
Peugeot,0,2,0,1,0,1,2,1,1,0,1,2,11,인천,개인-남자,50~59
Porsche,0,0,0,0,0,0,1,0,0,0,0,0,1,인천,개인-남자,50~59
Toyota,5,8,8,3,5,5,5,9,0,12,11,8,79,인천,개인-남자,50~59
Volvo,2,3,5,1,2,1,3,0,1,1,1,0,20,인천,개인-남자,50~59
Audi,0,1,1,0,0,0,0,0,0,0,0,0,2,인천,개인-남자,60~69
BMW,1,1,6,5,5,7,3,6,8,6,6,4,58,인천,개인-남자,60~69
Cadillac,1,1,0,0,1,1,0,0,0,0,0,0,4,인천,개인-남자,60~69
Chrysler,0,4,1,1,1,0,0,1,0,0,0,1,9,인천,개인-남자,60~69
Fiat,0,1,0,0,0,0,0,0,0,0,0,0,1,인천,개인-남자,60~69
Ford,5,1,1,1,2,0,2,0,0,1,3,1,17,인천,개인-남자,60~69
Honda,1,5,1,0,2,3,3,2,4,4,2,1,28,인천,개인-남자,60~69
Infiniti,0,0,1,0,0,0,0,0,0,0,0,0,1,인천,개인-남자,60~69
Jaguar,0,0,1,0,0,0,0,0,0,1,0,1,3,인천,개인-남자,60~69
Land Rover,1,0,3,0,0,0,0,3,1,1,1,2,12,인천,개인-남자,60~69
Lexus,0,3,5,5,1,4,3,3,4,1,3,1,33,인천,개인-남자,60~69
MINI,1,0,2,0,2,1,3,0,0,0,1,0,10,인천,개인-남자,60~69
Mercedes-Benz,12,4,9,5,4,12,5,8,3,8,4,4,78,인천,개인-남자,60~69
Nissan,1,0,1,0,2,0,1,1,0,2,1,0,9,인천,개인-남자,60~69
Peugeot,0,1,1,0,0,0,0,0,1,0,1,0,4,인천,개인-남자,60~69
Toyota,2,3,4,6,3,4,4,3,2,2,5,1,39,인천,개인-남자,60~69
Volvo,0,1,0,0,1,0,1,0,1,0,0,0,4,인천,개인-남자,60~69
BMW,1,2,0,0,0,1,1,1,0,0,3,0,9,인천,개인-남자,70~
Chrysler,0,0,0,0,1,1,0,0,0,0,0,0,2,인천,개인-남자,70~
Ford,0,0,1,0,0,0,0,0,0,0,0,2,3,인천,개인-남자,70~
Honda,0,0,0,0,1,0,1,0,0,0,1,0,3,인천,개인-남자,70~
Infiniti,0,0,0,1,0,0,0,0,0,0,0,0,1,인천,개인-남자,70~
Land Rover,0,1,0,0,0,0,0,0,0,0,0,0,1,인천,개인-남자,70~
Lexus,0,2,0,2,0,0,1,1,0,0,1,1,8,인천,개인-남자,70~
Mercedes-Benz,3,4,3,2,0,4,2,0,4,3,1,0,26,인천,개인-남자,70~
Nissan,0,1,2,0,0,0,0,0,0,0,0,0,3,인천,개인-남자,70~
Toyota,1,0,0,0,0,0,1,0,0,0,0,0,2,인천,개인-남자,70~
Volvo,1,0,0,0,1,0,0,1,0,0,0,0,3,인천,개인-남자,70~
BMW,1,2,1,6,6,6,6,2,8,2,3,6,49,인천,개인-여자,20~29
Cadillac,0,0,0,0,0,1,0,0,0,0,0,0,1,인천,개인-여자,20~29
Chrysler,1,0,0,0,0,2,1,0,1,2,1,1,9,인천,개인-여자,20~29
Citroen,0,0,0,0,0,1,0,1,0,0,0,0,2,인천,개인-여자,20~29
Fiat,0,1,2,1,0,0,0,1,0,0,0,0,5,인천,개인-여자,20~29
Ford,0,0,0,1,1,0,1,0,0,0,0,0,3,인천,개인-여자,20~29
Honda,1,0,0,0,1,1,0,0,0,0,0,0,3,인천,개인-여자,20~29
Infiniti,0,0,0,0,1,0,0,0,0,0,0,0,1,인천,개인-여자,20~29
Jaguar,0,1,1,0,0,0,0,0,0,0,0,0,2,인천,개인-여자,20~29
Land Rover,0,0,1,0,0,0,2,0,1,0,3,0,7,인천,개인-여자,20~29
Lexus,0,0,0,1,0,0,0,0,0,0,0,1,2,인천,개인-여자,20~29
MINI,4,3,2,0,7,7,5,3,11,3,4,9,58,인천,개인-여자,20~29
Mercedes-Benz,3,5,5,2,3,5,3,1,2,2,7,2,40,인천,개인-여자,20~29
Nissan,2,0,2,0,0,0,0,0,0,0,0,1,5,인천,개인-여자,20~29
Peugeot,0,1,2,0,1,0,2,1,1,2,1,2,13,인천,개인-여자,20~29
Porsche,0,0,0,0,0,1,0,0,0,0,0,0,1,인천,개인-여자,20~29
Toyota,2,1,1,0,0,1,0,0,1,0,1,2,9,인천,개인-여자,20~29
Volvo,0,0,0,0,0,0,1,0,0,0,0,0,1,인천,개인-여자,20~29
BMW,3,9,18,21,23,14,12,14,30,20,27,18,209,인천,개인-여자,30~39
Cadillac,1,0,1,1,0,0,0,0,0,2,0,1,6,인천,개인-여자,30~39
Chrysler,5,1,2,2,2,2,2,2,2,1,1,3,25,인천,개인-여자,30~39
Citroen,0,0,2,1,0,1,0,1,0,1,0,0,6,인천,개인-여자,30~39
Fiat,1,7,5,2,0,1,0,0,0,0,0,0,16,인천,개인-여자,30~39
Ford,3,1,1,4,0,6,1,2,1,0,1,4,24,인천,개인-여자,30~39
Honda,6,1,4,3,4,3,4,4,4,3,2,5,43,인천,개인-여자,30~39
Infiniti,0,0,1,0,1,1,2,0,0,1,0,0,6,인천,개인-여자,30~39
Jaguar,0,1,1,0,1,1,1,1,0,1,1,2,10,인천,개인-여자,30~39
Land Rover,4,3,6,0,1,0,2,3,5,2,5,7,38,인천,개인-여자,30~39
Lexus,1,5,1,1,5,4,3,5,1,2,2,3,33,인천,개인-여자,30~39
MINI,6,7,13,10,18,9,10,10,10,6,19,15,133,인천,개인-여자,30~39
Mercedes-Benz,25,27,18,25,22,27,18,26,21,21,35,9,274,인천,개인-여자,30~39
Nissan,1,4,3,0,0,1,6,7,4,6,6,1,39,인천,개인-여자,30~39
Peugeot,1,2,5,0,1,4,1,1,0,0,2,3,20,인천,개인-여자,30~39
Porsche,1,1,0,0,3,0,1,0,0,0,0,2,8,인천,개인-여자,30~39
Toyota,5,2,9,6,7,3,8,10,3,6,3,3,65,인천,개인-여자,30~39
Volvo,2,0,4,3,2,3,4,3,1,1,3,1,27,인천,개인-여자,30~39
BMW,5,3,14,16,14,11,11,7,14,11,16,13,135,인천,개인-여자,40~49
Cadillac,0,0,0,0,1,1,0,0,1,0,0,0,3,인천,개인-여자,40~49
Chrysler,2,2,2,0,6,2,1,3,2,2,1,1,24,인천,개인-여자,40~49
Citroen,0,0,0,0,1,0,0,0,0,0,0,1,2,인천,개인-여자,40~49
Fiat,1,1,4,0,0,0,0,0,0,0,0,0,6,인천,개인-여자,40~49
Ford,4,0,2,5,2,5,5,4,7,2,3,3,42,인천,개인-여자,40~49
Honda,3,4,0,3,5,5,4,3,3,7,2,0,39,인천,개인-여자,40~49
Infiniti,0,0,1,0,2,0,0,3,1,1,0,0,8,인천,개인-여자,40~49
Jaguar,0,0,2,0,1,2,0,0,0,0,0,1,6,인천,개인-여자,40~49
Land Rover,0,1,1,0,2,0,3,1,5,5,1,3,22,인천,개인-여자,40~49
Lexus,8,6,1,5,1,3,1,3,3,3,8,7,49,인천,개인-여자,40~49
MINI,8,2,2,4,7,8,5,4,5,8,1,5,59,인천,개인-여자,40~49
Mercedes-Benz,33,15,19,9,13,22,17,12,16,17,21,13,207,인천,개인-여자,40~49
Nissan,0,7,6,2,4,2,9,4,9,1,3,4,51,인천,개인-여자,40~49
