Brand,지역,유형,age,year,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,total
Audi,대전,개인-여자,30~39,2020,2,4,2,3,2,4,1,3,5,7,11,7,51
Audi,대전,개인-여자,30~39,2021,4,5,6,6,0,0,0,0,0,0,0,0,21
Audi,대전,개인-여자,40~49,2018,0,0,0,3,3,1,3,4,0,0,0,0,14
Audi,대전,개인-여자,40~49,2019,3,3,0,0,0,0,0,0,4,4,2,4,20
Audi,대전,개인-여자,40~49,2020,3,3,4,4,3,6,3,6,1,6,11,3,53
Audi,대전,개인-여자,40~49,2021,5,3,6,3,0,0,0,0,0,0,0,0,17
Audi,대전,개인-여자,50~59,2016,1,0,0,0,0,0,0,0,0,0,0,0,1
Audi,대전,개인-여자,50~59,2017,1,0,0,0,0,0,0,0,0,0,0,0,1
Audi,대전,개인-여자,50~59,2018,0,0,0,3,1,0,0,1,0,0,0,1,6
Audi,대전,개인-여자,50~59,2019,0,4,0,0,0,0,0,0,3,1,5,5,18
Audi,대전,개인-여자,50~59,2020,1,1,5,3,5,2,2,0,4,6,6,4,39
Audi,대전,개인-여자,50~59,2021,2,3,2,4,0,0,0,0,0,0,0,0,11
Audi,대전,개인-여자,60~69,2018,0,0,0,0,1,1,0,0,0,0,0,0,2
Audi,대전,개인-여자,60~69,2019,2,1,0,0,0,0,0,0,1,0,1,0,5
Audi,대전,개인-여자,60~69,2020,0,1,0,0,0,0,0,0,1,0,2,0,4
Audi,대전,개인-여자,70~,2021,0,0,0,1,0,0,0,0,0,0,0,0,1
Audi,대전,법인,-,2016,2,3,2,4,5,2,1,3,0,1,2,0,25
Audi,대전,법인,-,2017,1,0,0,0,0,0,0,0,0,0,0,0,1
Audi,대전,법인,-,2018,0,0,0,11,2,3,3,1,1,0,2,1,24
Audi,대전,법인,-,2019,2,4,0,0,0,0,0,0,5,3,6,4,24
Audi,대전,법인,-,2020,2,1,4,4,5,5,3,8,8,11,7,8,66
Audi,대전,법인,-,2021,5,3,15,2,0,0,0,0,0,0,0,0,25
Audi,부산,개인,20~29,2016,1,1,0,0,0,0,0,0,0,0,0,0,2
Audi,부산,개인,20~29,2017,1,1,0,0,0,0,0,0,0,0,0,0,2
Audi,부산,개인,20~29,2018,0,0,0,2,3,3,1,2,0,2,2,3,18
Audi,부산,개인,20~29,2019,1,5,0,0,0,0,0,0,0,3,3,6,18
Audi,부산,개인,20~29,2020,0,1,2,5,0,4,2,3,3,2,2,5,29
Audi,부산,개인,20~29,2021,0,3,8,2,0,0,0,0,0,0,0,0,13
Audi,부산,개인,30~39,2016,4,2,1,0,0,0,0,0,0,0,0,0,7
Audi,부산,개인,30~39,2017,4,2,1,0,0,0,0,0,0,0,0,0,7
Audi,부산,개인,30~39,2018,1,0,0,26,16,10,20,19,1,6,10,4,113
Audi,부산,개인,30~39,2019,7,8,0,0,0,0,0,0,18,26,28,16,103
Audi,부산,개인,30~39,2020,11,4,10,15,18,28,19,31,34,34,26,41,271
Audi,부산,개인,30~39,2021,11,18,36,14,0,0,0,0,0,0,0,0,79
Audi,부산,개인,40~49,2016,5,3,3,0,0,0,0,0,0,0,0,0,11
Audi,부산,개인,40~49,2017,5,3,3,0,0,0,0,0,0,0,0,0,11
Audi,부산,개인,40~49,2018,1,0,0,24,21,13,15,19,1,1,7,5,107
Audi,부산,개인,40~49,2019,11,23,0,0,0,0,0,0,20,36,33,25,148
Audi,부산,개인,40~49,2020,7,11,8,21,14,16,23,26,31,32,43,34,266
Audi,부산,개인,40~49,2021,19,30,36,13,0,0,0,0,0,0,0,0,98
Audi,부산,개인,50~59,2016,4,2,1,0,0,0,0,0,0,0,0,0,7
Audi,부산,개인,50~59,2017,4,2,1,0,0,0,0,0,0,0,0,0,7
Audi,부산,개인,50~59,2018,2,0,0,30,9,5,10,13,0,1,3,3,76
Audi,부산,개인,50~59,2019,11,24,1,0,0,0,0,0,10,10,19,15,90
Audi,부산,개인,50~59,2020,6,2,8,16,10,7,18,17,21,22,20,22,169
Audi,부산,개인,50~59,2021,11,12,22,17,0,0,0,0,0,0,0,0,62
Audi,부산,개인,60~69,2016,0,1,0,0,0,0,0,0,0,0,0,0,1
Audi,부산,개인,60~69,2017,0,1,0,0,0,0,0,0,0,0,0,0,1
Audi,부산,개인,60~69,2018,0,0,0,6,3,5,6,5,0,0,1,1,27
Audi,부산,개인,60~69,2019,6,12,0,0,0,0,0,0,0,7,4,6,35
Audi,부산,개인,60~69,2020,3,1,2,9,3,2,7,6,4,7,9,13,66
Audi,부산,개인,60~69,2021,3,9,5,7,0,0,0,0,0,0,0,0,24
Audi,부산,개인,70~,2018,0,0,0,1,1,0,3,1,0,0,0,0,6
Audi,부산,개인,70~,2019,0,1,0,0,0,0,0,0,0,2,1,1,5
Audi,부산,개인,70~,2020,0,0,1,4,1,0,2,0,3,3,4,1,19
Audi,부산,개인,70~,2021,0,0,2,1,0,0,0,0,0,0,0,0,3
Audi,부산,개인,~19,2020,0,0,0,0,0,0,0,0,0,1,0,0,1
Audi,부산,개인-남자,20~29,2016,0,1,0,0,0,0,0,0,0,0,0,0,1
