구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age,year
Lincoln,6,6,2,16,0,0,0,0,0,0,0,0,30,대구,법인,-,2021
MINI,5,11,18,7,0,0,0,0,0,0,0,0,41,대구,법인,-,2021
Maserati,0,2,3,2,0,0,0,0,0,0,0,0,7,대구,법인,-,2021
Mercedes-Benz,362,452,493,607,0,0,0,0,0,0,0,0,"1,914",대구,법인,-,2021
Peugeot,4,6,3,2,0,0,0,0,0,0,0,0,15,대구,법인,-,2021
Porsche,56,57,74,51,0,0,0,0,0,0,0,0,238,대구,법인,-,2021
Rolls-Royce,4,1,1,5,0,0,0,0,0,0,0,0,11,대구,법인,-,2021
Toyota,2,1,8,14,0,0,0,0,0,0,0,0,25,대구,법인,-,2021
Volkswagen,21,17,5,11,0,0,0,0,0,0,0,0,54,대구,법인,-,2021
Volvo,47,49,62,53,0,0,0,0,0,0,0,0,211,대구,법인,-,2021
Audi,"1,097",900,497,271,0,0,0,0,0,0,0,0,"2,765",인천,법인,-,2021
BMW,874,763,"1,020",932,0,0,0,0,0,0,0,0,"3,589",인천,법인,-,2021
Bentley,8,3,6,7,0,0,0,0,0,0,0,0,24,인천,법인,-,2021
Cadillac,13,1,8,0,0,0,0,0,0,0,0,0,22,인천,법인,-,2021
Chevrolet,135,21,22,12,0,0,0,0,0,0,0,0,190,인천,법인,-,2021
Chrysler,64,35,114,50,0,0,0,0,0,0,0,0,263,인천,법인,-,2021
Citroen,4,1,1,8,0,0,0,0,0,0,0,0,14,인천,법인,-,2021
Ford,50,26,68,54,0,0,0,0,0,0,0,0,198,인천,법인,-,2021
Honda,4,10,8,7,0,0,0,0,0,0,0,0,29,인천,법인,-,2021
Jaguar,3,2,0,2,0,0,0,0,0,0,0,0,7,인천,법인,-,2021
Lamborghini,16,19,21,24,0,0,0,0,0,0,0,0,80,인천,법인,-,2021
Land Rover,57,41,33,17,0,0,0,0,0,0,0,0,148,인천,법인,-,2021
Lexus,80,90,132,149,0,0,0,0,0,0,0,0,451,인천,법인,-,2021
Lincoln,61,39,58,67,0,0,0,0,0,0,0,0,225,인천,법인,-,2021
MINI,103,89,131,135,0,0,0,0,0,0,0,0,458,인천,법인,-,2021
Maserati,30,51,48,45,0,0,0,0,0,0,0,0,174,인천,법인,-,2021
Mercedes-Benz,688,648,891,"1,158",0,0,0,0,0,0,0,0,"3,385",인천,법인,-,2021
Peugeot,8,3,9,13,0,0,0,0,0,0,0,0,33,인천,법인,-,2021
Porsche,101,134,137,145,0,0,0,0,0,0,0,0,517,인천,법인,-,2021
Rolls-Royce,5,11,5,7,0,0,0,0,0,0,0,0,28,인천,법인,-,2021
Toyota,10,13,14,26,0,0,0,0,0,0,0,0,63,인천,법인,-,2021
Volkswagen,178,152,335,106,0,0,0,0,0,0,0,0,771,인천,법인,-,2021
Volvo,84,78,91,80,0,0,0,0,0,0,0,0,333,인천,법인,-,2021
Audi,3,1,8,6,0,0,0,0,0,0,0,0,18,광주,법인,-,2021
BMW,14,11,5,6,0,0,0,0,0,0,0,0,36,광주,법인,-,2021
Bentley,0,0,1,0,0,0,0,0,0,0,0,0,1,광주,법인,-,2021
Cadillac,2,0,1,0,0,0,0,0,0,0,0,0,3,광주,법인,-,2021
Chevrolet,2,2,3,1,0,0,0,0,0,0,0,0,8,광주,법인,-,2021
Chrysler,1,0,3,2,0,0,0,0,0,0,0,0,6,광주,법인,-,2021
Ford,0,1,0,2,0,0,0,0,0,0,0,0,3,광주,법인,-,2021
Honda,2,2,1,0,0,0,0,0,0,0,0,0,5,광주,법인,-,2021
Land Rover,1,0,1,0,0,0,0,0,0,0,0,0,2,광주,법인,-,2021
Lexus,1,1,1,2,0,0,0,0,0,0,0,0,5,광주,법인,-,2021
MINI,0,1,1,0,0,0,0,0,0,0,0,0,2,광주,법인,-,2021
Maserati,0,1,4,0,0,0,0,0,0,0,0,0,5,광주,법인,-,2021
Mercedes-Benz,16,8,21,32,0,0,0,0,0,0,0,0,77,광주,법인,-,2021
Porsche,5,5,1,4,0,0,0,0,0,0,0,0,15,광주,법인,-,2021
Toyota,0,2,0,5,0,0,0,0,0,0,0,0,7,광주,법인,-,2021
Volkswagen,0,0,1,0,0,0,0,0,0,0,0,0,1,광주,법인,-,2021
Volvo,1,5,1,0,0,0,0,0,0,0,0,0,7,광주,법인,-,2021
Audi,5,3,15,2,0,0,0,0,0,0,0,0,25,대전,법인,-,2021
BMW,10,9,10,7,0,0,0,0,0,0,0,0,36,대전,법인,-,2021
Cadillac,1,1,1,0,0,0,0,0,0,0,0,0,3,대전,법인,-,2021
Chevrolet,1,3,2,6,0,0,0,0,0,0,0,0,12,대전,법인,-,2021
Chrysler,4,0,4,2,0,0,0,0,0,0,0,0,10,대전,법인,-,2021
Ford,0,0,0,3,0,0,0,0,0,0,0,0,3,대전,법인,-,2021
Honda,0,0,1,1,0,0,0,0,0,0,0,0,2,대전,법인,-,2021
Land Rover,0,2,0,0,0,0,0,0,0,0,0,0,2,대전,법인,-,2021
Lexus,0,2,1,0,0,0,0,0,0,0,0,0,3,대전,법인,-,2021
Lincoln,3,3,1,1,0,0,0,0,0,0,0,0,8,대전,법인,-,2021
MINI,1,2,0,1,0,0,0,0,0,0,0,0,4,대전,법인,-,2021
Maserati,0,0,1,0,0,0,0,0,0,0,0,0,1,대전,법인,-,2021
Mercedes-Benz,17,13,19,29,0,0,0,0,0,0,0,0,78,대전,법인,-,2021
Peugeot,1,0,0,0,0,0,0,0,0,0,0,0,1,대전,법인,-,2021
Porsche,1,3,4,0,0,0,0,0,0,0,0,0,8,대전,법인,-,2021
Rolls-Royce,0,0,0,1,0,0,0,0,0,0,0,0,1,대전,법인,-,2021
Toyota,1,0,0,2,0,0,0,0,0,0,0,0,3,대전,법인,-,2021
Volkswagen,1,2,1,2,0,0,0,0,0,0,0,0,6,대전,법인,-,2021
Volvo,1,2,2,0,0,0,0,0,0,0,0,0,5,대전,법인,-,2021
Audi,2,0,2,1,0,0,0,0,0,0,0,0,5,울산,법인,-,2021
BMW,4,1,1,2,0,0,0,0,0,0,0,0,8,울산,법인,-,2021
Bentley,0,0,1,0,0,0,0,0,0,0,0,0,1,울산,법인,-,2021
Chevrolet,0,0,3,0,0,0,0,0,0,0,0,0,3,울산,법인,-,2021
Chrysler,0,0,0,3,0,0,0,0,0,0,0,0,3,울산,법인,-,2021
Jaguar,1,0,0,0,0,0,0,0,0,0,0,0,1,울산,법인,-,2021
Lamborghini,0,1,0,0,0,0,0,0,0,0,0,0,1,울산,법인,-,2021
Lexus,2,1,0,1,0,0,0,0,0,0,0,0,4,울산,법인,-,2021
Lincoln,2,0,0,0,0,0,0,0,0,0,0,0,2,울산,법인,-,2021
Mercedes-Benz,5,4,3,9,0,0,0,0,0,0,0,0,21,울산,법인,-,2021
Porsche,0,0,1,1,0,0,0,0,0,0,0,0,2,울산,법인,-,2021
Toyota,0,0,1,1,0,0,0,0,0,0,0,0,2,울산,법인,-,2021
Volkswagen,0,0,0,1,0,0,0,0,0,0,0,0,1,울산,법인,-,2021
Volvo,2,1,0,0,0,0,0,0,0,0,0,0,3,울산,법인,-,2021
Audi,1,0,0,0,0,0,0,0,0,0,0,0,1,세종,법인,-,2021
BMW,2,0,0,0,0,0,0,0,0,0,0,0,2,세종,법인,-,2021
Chevrolet,0,0,0,2,0,0,0,0,0,0,0,0,2,세종,법인,-,2021
Mercedes-Benz,1,0,3,3,0,0,0,0,0,0,0,0,7,세종,법인,-,2021
